skilldesc	*Laz	*Laz/Loc	*Laz/ID	*Laz/Name	SkillPage	SkillRow	SkillColumn	ListRow	IconCel	str name	str short	str long	str alt	descdam	ddam calc1	ddam calc2	p1dmelem	p1dmmin	p1dmmax	p2dmelem	p2dmmin	p2dmmax	p3dmelem	p3dmmin	p3dmmax	descatt	descmissile1	descmissile2	descmissile3	descline1	desctexta1	desctextb1	desccalca1	desccalcb1	descline2	desctexta2	desctextb2	desccalca2	desccalcb2	descline3	desctexta3	desctextb3	desccalca3	desccalcb3	descline4	desctexta4	desctextb4	desccalca4	desccalcb4	descline5	desctexta5	desctextb5	desccalca5	desccalcb5	descline6	desctexta6	desctextb6	desccalca6	desccalcb6	dsc2line1	dsc2texta1	dsc2textb1	dsc2calca1	dsc2calcb1	dsc2line2	dsc2texta2	dsc2textb2	dsc2calca2	dsc2calcb2	dsc2line3	dsc2texta3	dsc2textb3	dsc2calca3	dsc2calcb3	dsc2line4	dsc2texta4	dsc2textb4	dsc2calca4	dsc2calcb4	dsc2line5	dsc2texta5	dsc2textb5	dsc2calca5	dsc2calcb5	dsc3line1	dsc3texta1	dsc3textb1	dsc3calca1	dsc3calcb1	dsc3line2	dsc3texta2	dsc3textb2	dsc3calca2	dsc3calcb2	dsc3line3	dsc3texta3	dsc3textb3	dsc3calca3	dsc3calcb3	dsc3line4	dsc3texta4	dsc3textb4	dsc3calca4	dsc3calcb4	dsc3line5	dsc3texta5	dsc3textb5	dsc3calca5	dsc3calcb5	dsc3line6	dsc3texta6	dsc3textb6	dsc3calca6	dsc3calcb6	dsc3line7	dsc3texta7	dsc3textb7	dsc3calca7	dsc3calcb7	*eol
hunger					2	5	2	2	58	Skillname243	Skillld243	Skillld243	Skillan243	14												1				74	EskillManaSteal		dm34		74	EskillLifeSteal		dm12		74	StrSkill22		toht																	36	StrSkill3		usmc	256	74	StrSkillDamagePercent		par5																																																				0
shock wave					2	5	3	2	28	Skillname244	Skillld244	Skillld244	Skillan244	5																36	StrSkillStunLengthSingular	StrSkill48	ln12	25	75	StrSkill4		pnma	pxma																					36	StrSkill3		usmc	256																					40	Sksyn	Skillname244	2		76	Damplev	Skillname234	par8																											0
volcano					3	5	1	3	44	Skillname245	Skillld245	Skillld245	Skillan245	5																75	StrSkill5		enma	exma	75	StrSkill4		pnma	pxma																					36	StrSkill3		usmc	256																					40	Sksyn	Skillname245	2		76	Damplev	Skillname230	par7		76	Firedplev	Skillname235	par8		76	Firedplev	Skillname250	par8																	0
tornado					3	5	2	3	46	Skillname246	Skillld246	Skillld246	Skillan246	5																75	StrSkill4		pnma	pxma																										36	StrSkill3		usmc	256																					40	Sksyn	Skillname246	2		76	Damplev	Skillname236	par8		76	Damplev	Skillname241	par8		76	Damplev	Skillname251	par8																	0
spirit of barbs					1	6	1	1	4	Skillname247	Skillld247	Skillld247	Skillan247																	36	StrSkill3		usmc	256	36	StrSkillRadiusSingular	StrSkill18	ln78*2	3	74	StrSkill55		ln34		13	StrSkill42		(lvl-1)*par1																																																																								0
summon grizzly					1	6	2	1	18	Skillname248	Skillld248	Skillld248	Skillan248																	74	StrSkillDamagePercent		ln12		75	StrSkill4		pnma*(100+ln12)/100	pxma*(100+ln12)/100																					74	StrSkill21		skill('Summon Spirit Wolf'.ln56)		74	StrSkill22		skill('Summon Spirit Wolf'.ln12)		13	StrSkill42		skill('summon fenris'.ln12)		36	StrSkill3		usmc	256						40	Sksyn	Skillname248	2		18	Skillname228				18	Skillname238																								0
fury					2	6	1	2	30	Skillname249	Skillld249	Skillld249	Skillan249	7	ln34											2				74	StrSkillDamagePercent		ln34		74	StrSkill22		toht		74	StrSkill11		min((par5+lvl-1),par6)																	36	StrSkill3		usmc	256																																																								0
armageddon					3	6	1	3	50	Skillname250	Skillld250	Skillld250	Skillan250	5													armageddonfire			75	StrSkillFireDamageAveragePerSecond		m1eo*25*3*(mael+100)/100/256	m1ey*25*3*(mael+100)/100/256	75	StrSkill5		enma	exma																					36	StrSkill3		usmc	256	36	StrSkillRadiusSingular	StrSkill18	par3*2	3	36	StrSkillDurationSingular	StrSkill20	ln12 + skill('Eruption'.blvl) * par7	25											40	Sksyn	Skillname250	2		76	Secplev2	Skillname235	2		76	Firedplev	Skillname226	par8		76	Firedplev	Skillname230	par8		76	Firedplev	Skillname245	par8												0
hurricane					3	6	2	3	48	Skillname251	Skillld251	Skillld251	Skillan251	5																75	StrSkill6		enma	exma																										36	StrSkill3		usmc	256	36	StrSkillRadiusSingular	StrSkill18	par3*2	3	36	StrSkillDurationSingular	StrSkill20	ln12 + skill('Cyclone Armor'.blvl) * par7	25											40	Sksyn	Skillname251	2		76	Secplev2	Skillname236	2		76	Damplev	Skillname241	par8		76	Damplev	Skillname246	par8																	0
fire trauma					1	1	2	1	0	Skillname252	Skillld252	Skillld252	Skillan252	5																36	StrSkill3		usmc	256	75	StrSkill5		enma	exma																					36	StrSkillRadiusSingular	StrSkill18	par1*2	3																					40	Sksyn	Skillname252	2		76	Firedplev	Skillname257	par8		76	Firedplev	Skillname262	par8		76	Firedplev	Skillname263	par8		76	Firedplev	Skillname272	par8		76	Firedplev	Skillname273	par8		76	Firedplev	Skillname277	par8		0
claw mastery					2	1	2	2	20	Skillname253	Skillld253	Skillld253	Skillan253																	74	eskillincasemasteryX		macr		74	StrSkillDamagePercent		madm		74	StrSkill22		math																																																																													0
psychic hammer					2	1	3	2	22	Skillname254	Skillld254	Skillld254	Skillan254	5																36	StrSkill3		usmc	256	75	StrSkill39		enma	exma	75	StrSkill4		pnma	pxma																																																																												0
tiger strike					3	1	2	3	40	Skillname255	Skillld255	Skillld255	Skillan255	5												1				74	StrSkillAssassinTigerStrikeCharge3		3*ln12		74	StrSkillAssassinTigerStrikeCharge2		2*ln12		74	StrSkillAssassinTigerStrikeCharge1		ln12		74	StrSkill22		toht												36	StrSkill3		usmc	256																																																								0
dragon talon					3	1	3	3	42	Skillname256	Skillld256	Skillld256	Skillan256	15												5				74	Eskillkickdamage		ln12		74	StrSkill22		toht		36	EskillKickSing	EskillKickPlur	lvl/6+1																	36	StrSkill3		usmc	256																																																								0
shock field					1	2	1	1	2	Skillname257	Skillld257	Skillld257	Skillan257	5													shock field on ground			36	StrSkillDurationSingular	StrSkill20	miss('shock field on ground'.rang)	25	75	StrSkillLightningDamageAveragePerSecond		edmn	edmx	74	ESkillSpikes		par1+lvl/par2+skill('Fire Trauma'.blvl)/3																	36	StrSkill3		usmc	256																					40	Sksyn	Skillname257	2		77	Missplev3	Skillname252	1	3	76	Ltngdplev	Skillname262	par8		76	Ltngdplev	Skillname272	par8		76	Ltngdplev	Skillname277	par8												0
blade sentinel					1	2	3	1	4	Skillname258	Skillld258	Skillld258	Skillan258	5												1				36	StrSkillDurationSingular	StrSkill20	ln12	25	75	StrSkill4		pnma	pxma																					36	StrSkill3		usmc	256	74	WeapDamsk		48*100/128																																																				0
quickness					2	2	1	2	36	Skillname259	Skillld259	Skillld259	Skillan259																	36	StrSkillDurationSingular	StrSkill20	ln56	25	74	StrSkill89		dm12		74	StrSkill106		dm34																	36	StrSkill3		usmc	256																																																								0
fists of fire					3	2	1	3	44	Skillname260	Skillld260	Skillld260	Skillan260	20			fire	enma	exma	fire	enma	exma	fire	enma+m1eo*50/256	exma+m1ey*50/256	2	fistsoffirefirewall			75	Eskillfistsoffire3		m1eo*50/256	m1ey*50/256	74	Eskillfistsoffire2		par1		75	Eskillfistsoffire1		enma	exma	74	StrSkill22		toht												36	StrSkill3		usmc	256																					40	Sksyn	Skillname260	2		76	Firedplev	Skillname281	par8																											0
dragon claw					3	2	3	3	46	Skillname261	Skillld261	Skillld261	Skillan261	19	ln12											2				74	StrSkillDamagePercent		ln12 + (skill('Claw Mastery'.blvl) * par7)		74	StrSkill22		toht																						36	StrSkill3		usmc	256																					40	Sksyn	Skillname261	2		76	Damplev	Skillname253	par7																											0
charged bolt sentry					1	3	1	1	6	Skillname262	Skillld262	Skillld262	Skillan262																	75	StrSkill7		enma	exma																										36	StrSkill3		usmc	256	74	StrSkill72		ln34 + skill('Shock Field'.blvl)/3		74	ESkillShoots		par1 + skill('Lightning Sentry'.blvl)/4												40	Sksyn	Skillname262	2		77	Boltplev3	Skillname257	1	par6	77	Shotplev3	Skillname272	1	par7	76	Ltngdplev	Skillname252	par8		76	Ltngdplev	Skillname272	par8		76	Ltngdplev	Skillname277	par8							0
wake of fire sentry					1	3	2	1	8	Skillname263	Skillld263	Skillld263	Skillan263																	75	StrSkill5		enma	exma																										36	StrSkill3		usmc	256	74	ESkillShoots		par1																	40	Sksyn	Skillname263	2		76	Firedplev	Skillname252	par8		76	Firedplev	Skillname273	par8																						0
weapon block					2	3	2	2	26	Skillname264	Skillld264	Skillld264	Skillan264																	74	StrSkill24		dm12																																																																																							0
cloak of shadows					2	3	3	2	24	Skillname265	Skillld265	Skillld265	Skillan265																	36	StrSkillDurationSingular	StrSkill20	ln34	25	74	StrSkill25		-min(ln56,95)		74	StrSkill21		ln78																	36	StrSkill3		usmc	256	36	StrSkillRangeSingular	StrSkill56	dm12*2	3																																																			0
cobra strike					3	3	2	3	50	Skillname266	Skillld266	Skillld266	Skillan266	5												1				74	StrSkillAssassinCobraStrikeCharge3		2*ln12		74	Eskillpudmana		ln12		74	StrSkillAssassinCobraStrikeCharge1		ln12		74	StrSkill22		toht												36	StrSkill3		usmc	256																																																								0
blade fury					1	4	3	1	10	Skillname267	Skillld267	Skillld267	Skillan267	24												1				36	EskillPerBlade		usmc	256	75	StrSkill4		pnma	pxma																					74	StrSkill115		par3		74	WeapDamsk		96*100/128																																																				0
fade					2	4	1	2	30	Skillname268	Skillld268	Skillld268	Skillan268																	36	StrSkillDurationSingular	StrSkill20	ln56	25	74	StrSkill54		dm12		74	StrSkill85		dm34																	36	StrSkill3		usmc	256																																																								0
shadow warrior					2	4	2	2	38	Skillname269	Skillld269	Skillld269	Skillan269																	36	StrSkill3		usmc	256	74	StrSkill21		(lvl-1)*par3		74	StrSkillAttackRating		lvl*par2		13	StrSkill42		(lvl-1)*par1																																																																								0
claws of thunder					3	4	1	3	58	Skillname270	Skillld270	Skillld270	Skillan270	20			ltng	enma	exma	ltng	enma+m2en	exma+m2ex	ltng	enma+m2en+m3en	exma+m2ex+m3ex	2		clawsofthundernova	clawsofthunderbolt	75	Eskillthunder3		m3en	m3ex	75	Eskillthunder2		m2en	m2ex	75	Eskillthunder1		enma	exma	74	StrSkill22		toht												36	StrSkill3		usmc	256																					40	Sksyn	Skillname270	2		76	Ltngdplev	Skillname281	par8																											0
dragon tail					3	4	3	3	48	Skillname271	Skillld271	Skillld271	Skillan271	16												5				74	StrSkillFireDamagePercent		ln12		74	StrSkill22		toht																						36	StrSkill3		usmc	256	36	StrSkillRadiusSingular	StrSkill18	par3*2	3																																																			0
lightning sentry					1	5	1	1	12	Skillname272	Skillld272	Skillld272	Skillan272	5																75	StrSkill7		enma	exma																										36	StrSkill3		usmc	256	74	ESkillShoots		par1																	40	Sksyn	Skillname272	2		76	Ltngdplev	Skillname257	par8		76	Ltngdplev	Skillname262	par8		76	Ltngdplev	Skillname277	par8																	0
inferno sentry					1	5	2	1	14	Skillname273	Skillld273	Skillld273	Skillan273	8	1	3														75	StrSkill5		edns*25/768	edxs*25/768																										36	StrSkill3		usmc	256	74	ESkillShoots		par1																	40	Sksyn	Skillname273	2		77	Rangplev	Skillname263	0	5	76	Firedplev	Skillname252	par7		76	Firedplev	Skillname263	par8		76	Firedplev	Skillname277	par7												0
mind blast					2	5	3	2	34	Skillname274	Skillld274	Skillld274	Skillan274	5																74	StrSkill99		dm56		36	StrSkillStunLengthSingular	StrSkill48	min(250,edln)	25	75	StrSkill4		pnma	pxma																36	StrSkill3		usmc	256	75	StrSkillDurationRange		par3/25	(par3+par4)/25																																																			0
blades of ice					3	5	1	3	52	Skillname275	Skillld275	Skillld275	Skillan275	20			cold	enma	exma	cold	enma	exma	cold	enma	exma	2				36	Eskillbladesofice3		edln	25	36	Eskillbladesofice2		par1*2	3	75	Eskillbladesofice1		enma	exma	74	StrSkill22		toht												36	StrSkill3		usmc	256																					40	Sksyn	Skillname275	2		76	Colddplev	Skillname281	par8																											0
dragon flight					3	5	3	3	54	Skillname276	Skillld276	Skillld276	Skillan276	15												5				74	Eskillkickdamage		ln12		74	StrSkill22		toht																						36	StrSkill3		usmc	256																																																								0
death sentry					1	6	1	1	16	Skillname277	Skillld277	Skillld277	Skillan277	5																36	StrSkillRadiusSingular	StrSkill18	skill('mon death sentry'.par3) + skill('mon death sentry'.par4) * (lvl - 1)	3	75	StrSkill7		enma	exma																					36	StrSkill3		usmc	256	74	ESkillShoots		par1 + skill('Fire Trauma'.blvl)/3		75	Corexpdam		skill('mon death sentry'.par1)	skill('mon death sentry'.par2)											40	Sksyn	Skillname277	2		77	Shotplev3	Skillname252	1	3	76	Ltngdplev	Skillname272	par8																						0
blade shield					1	6	3	1	18	Skillname278	Skillld278	Skillld278	Skillan278	5												1				36	StrSkill3		usmc	256	36	StrSkillDurationSingular	StrSkill20	ln12	25	75	StrSkill4		pnma	pxma																74	WeapDamsk		32*100/128																																																									0
venom					2	6	1	2	28	Skillname279	Skillld279	Skillld279	Skillan279																	36	StrSkillDurationSingular	StrSkill20	ln12	25	36	StrSkillPoisonLengthSingular	StrSkill63	edln	25	75	StrSkill8		enms*edln/256	exms*edln/256																36	StrSkill3		usmc	256																																																								0
shadow master					2	6	2	2	32	Skillname280	Skillld280	Skillld280	Skillan280																	36	StrSkill3		usmc	256	74	StrSkill54		((110*(lvl-1))/(lvl+5)*(par4-par3))/100+par3		74	StrSkillAttackRating		lvl*par2		13	StrSkill42		(lvl-1)*par1																																																																								0
royal strike					3	6	2	3	56	Skillname281	Skillld281	Skillld281	Skillan281	18			fire	m1en	m1ex	ltng	m2en	m2ex	cold	m3en	m3ex	1	royalstrikemeteor	royalstrikechainlightning	royalstrikechaosice	75	Eskillphoenix3		m3en	m3ex	75	Eskillphoenix2		m2en	m2ex	75	StrSkillFireDamageAveragePerSecond		miss('royalstrikemeteorfire'.edns)*3*25*(mael+100)/100/256	miss('royalstrikemeteorfire'.edxs)*3*25*(mael+100)/100/256	75	Eskillphoenix1		m1en	m1ex	74	StrSkill22		toht							36	StrSkill3		usmc	256																					40	Sksyn	Skillname281	2		76	Firedplev	Skillname260	10		76	AFDImm	Skillname260	6		76	Ltngdplev	Skillname270	13		76	Colddplev	Skillname275	10												0
delerium change					0	0	0	0	2	Runeword22	Runeword22	Runeword22	Runeword22																																																																																																											0
interact					0	0	0	0	2	SkillNameInteract	SkillDescInteract	SkillDescInteract	SkillNameInteract																																																																																																											0
loot					0	0	0	0	2	SkillNameLoot	SkillDescLoot	SkillDescLoot	SkillNameLoot																																																																																																											0
townportal					0	0	0	0	18	skillname219	skillld219	skillld219	skillan219																																																																																																											0
emotewheel					0	0	0	0	2	SkillNameEmoteWheel	SkillDescEmoteWheel	SkillDescEmoteWheel	SkillNameEmoteWheel																																																																																																											0
swapweapons					0	0	0	0	2	SkillNameSwapWeapons	SkillDescSwapWeapons	SkillDescSwapWeapons	SkillNameSwapWeapons																																																																																																											0
map					0	0	0	0	2	SkillNameMap	SkillDescMap	SkillDescMap	SkillNameMap																																																																																																											0
showitems					0	0	0	0	2	SkillNameShowItems	SkillDescShowItems	SkillDescShowItems	SkillNameShowItems																																																																																																											0
runtoggle					0	0	0	0	2	SkillNameRunToggle	SkillDescRunToggle	SkillDescRunToggle	SkillNameRunToggle																																																																																																											0
placeholder 1		1			0	0	0	0	18	SkillNameLoot	SkillDescLoot	SkillDescLoot	SkillNameLoot																																																																																																											0
placeholder 2		2			0	0	0	0	18	SkillNameLoot	SkillDescLoot	SkillDescLoot	SkillNameLoot																																																																																																											0
placeholder 3		3			0	0	0	0	18	SkillNameLoot	SkillDescLoot	SkillDescLoot	SkillNameLoot																																																																																																											0
placeholder 4		4			0	0	0	0	18	SkillNameLoot	SkillDescLoot	SkillDescLoot	SkillNameLoot																																																																																																											0
placeholder 5		5			0	0	0	0	18	SkillNameLoot	SkillDescLoot	SkillDescLoot	SkillNameLoot																																																																																																											0
placeholder 6		6			0	0	0	0	18	SkillNameLoot	SkillDescLoot	SkillDescLoot	SkillNameLoot																																																																																																											0
placeholder 7		7			0	0	0	0	18	SkillNameLoot	SkillDescLoot	SkillDescLoot	SkillNameLoot																																																																																																											0
placeholder 8		8			0	0	0	0	18	SkillNameLoot	SkillDescLoot	SkillDescLoot	SkillNameLoot																																																																																																											0
placeholder 9		9			0	0	0	0	18	SkillNameLoot	SkillDescLoot	SkillDescLoot	SkillNameLoot																																																																																																											0
placeholder 10		10			0	0	0	0	18	SkillNameLoot	SkillDescLoot	SkillDescLoot	SkillNameLoot																																																																																																											0
placeholder 11		11			0	0	0	0	18	SkillNameLoot	SkillDescLoot	SkillDescLoot	SkillNameLoot																																																																																																											0
placeholder 12		12			0	0	0	0	18	SkillNameLoot	SkillDescLoot	SkillDescLoot	SkillNameLoot																																																																																																											0
placeholder 13		13			0	0	0	0	18	SkillNameLoot	SkillDescLoot	SkillDescLoot	SkillNameLoot																																																																																																											0
placeholder 14		14			0	0	0	0	18	SkillNameLoot	SkillDescLoot	SkillDescLoot	SkillNameLoot																																																																																																											0
placeholder 15		15			0	0	0	0	18	SkillNameLoot	SkillDescLoot	SkillDescLoot	SkillNameLoot																																																																																																											0
placeholder 16		16			0	0	0	0	18	SkillNameLoot	SkillDescLoot	SkillDescLoot	SkillNameLoot																																																																																																											0
placeholder 17		17			0	0	0	0	18	SkillNameLoot	SkillDescLoot	SkillDescLoot	SkillNameLoot																																																																																																											0
placeholder 18		18			0	0	0	0	18	SkillNameLoot	SkillDescLoot	SkillDescLoot	SkillNameLoot																																																																																																											0
placeholder 19		19			0	0	0	0	18	SkillNameLoot	SkillDescLoot	SkillDescLoot	SkillNameLoot																																																																																																											0
placeholder 20		20			0	0	0	0	18	SkillNameLoot	SkillDescLoot	SkillDescLoot	SkillNameLoot																																																																																																											0
scorpion strike	ass	429	Kensai	Scorpion Strike	3	1	1	1	0	SkillnameLaz429	SkilldescLaz429	SkilldescLaz429	SkillnameLaz429	5												1				36	StrSkillPoisonLengthSingular	StrSkill63	edln	25	75	StrSkill8		enms*edln/256	exms*edln/256	74	StrSkill22		toht																																36	TimerDuration	TimerDuration	250	25	36	StrSkill3		usmc	256	40	ReqClaw		8		18	BlankRow				40	VengeanceSkill		1		18	VengeanceSkillExplanation				74	StrSkill24		skill('New Vengeance'.dm12)												0
new dragon talon	ass	430	Kensai	Dragon Talon	3	1	2	1	2	SkillnameLaz430	SkilldescLaz430	SkilldescLaz430	SkillnameLaz430	15												5				74	Eskillkickdamage		ln12		74	StrSkill22		toht		36	EskillKickSing	EskillKickPlur	min(lvl/2+2, 5)																	18	StrSkillAlwaysHits																			36	StrSkill3		usmc	256																																				0
new dragon claws	ass	431	Kensai	Dragon Claws	3	1	3	1	4	SkillnameLaz431	SkilldescLaz431	SkilldescLaz431	SkillnameLaz431	19	clc1											2				74	StrSkillDamagePercent		ln12		74	StrSkill22		toht																																										36	StrSkill3		usmc	256	40	ReqTwoClaws		8																																0
naja strike	ass	432	Kensai	Naja Strike	3	2	1	1	6	SkillnameLaz432	SkilldescLaz432	SkilldescLaz432	SkillnameLaz432	5												1				36	BombDurationSingular	BombDuration	ln56	25	74	BombCount		ln12		75	StrSkill5		enma	exma	74	StrSkill22		toht												36	BlastRadius	BlastRadius	par1*2	3	36	StrSkillRangeSingular	ThrowRange	(24*7/25)*2	3						36	TimerDuration	TimerDuration	250	25	36	StrSkill3		usmc	256	40	ReqClaw		8		18	BlankRow				40	VengeanceSkill		1		18	VengeanceSkillExplanation				74	StrSkill24		skill('New Vengeance'.dm12)												0
dragon wing	ass	433	Kensai	Dragon Wing	3	2	2	1	8	SkillnameLaz433	SkilldescLaz433	SkilldescLaz433	SkillnameLaz433	19												1				74	StrSkill22		toht																											74	WeapDamsk		64*100/128																	36	StrSkill3		usmc	256																																				0
fenris strike	ass	434	Kensai	Fenris Strike	3	2	3	1	10	SkillnameLaz434	SkilldescLaz434	SkilldescLaz434	SkillnameLaz434	5												1				36	StrSkillFreezeLengthSingular	StrSkill29	edln	25	75	StrSkill6		enma	exma	74	StrSkillDamagePercent		clc1		74	StrSkill22		toht																											36	TimerDuration	TimerDuration	250	25	36	StrSkill3		usmc	256	40	ReqClaw		8		18	BlankRow				40	VengeanceSkill		1		18	VengeanceSkillExplanation				74	StrSkill24		skill('New Vengeance'.dm12)												0
new dragon flight	ass	435	Kensai	Dragon Flight	3	3	1	1	12	SkillnameLaz435	SkilldescLaz435	SkilldescLaz435	SkillnameLaz435	15												5				36	StrSkillRangeSingular	StrSkill56	ln56*2	3	74	Eskillkickdamage		ln12		74	StrSkill22		toht																	18	StrSkillAlwaysHits																			36	StrSkill3		usmc	256																																				0
manticore strike	ass	436	Kensai	Manticore Strike	3	3	2	1	14	SkillnameLaz436	SkilldescLaz436	SkilldescLaz436	SkillnameLaz436	5												1				36	TrapDurationSingular	TrapDuration	ln56	25	75	StrSkill7		enma	exma	74	StrSkill22		toht																	36	StrSkillRadiusSingular	StrSkill18	(32*7/25)*2	3	74	WeapDamsk		64*100/128							36	TimerDuration	TimerDuration	250	25	36	StrSkill3		usmc	256	40	ReqClaw		8		18	BlankRow				40	VengeanceSkill		1		18	VengeanceSkillExplanation				74	StrSkill24		skill('New Vengeance'.dm12)												0
falling spider	ass	437	Saboteur	Falling Spider	2	1	1	2	16	SkillnameLaz437	SkilldescLaz437	SkilldescLaz437	SkillnameLaz437	5												1				36	StrSkillPoisonLengthSingular	StrSkill63	edln	25	75	StrSkill8		enms*edln/256	exms*edln/256	74	StrSkill22		toht																																					36	StrSkill3		usmc	256	40	ReqThrowingKnife		8																																0
naja bombs	ass	438	Saboteur	Naja Bombs	2	1	2	2	18	SkillnameLaz438	SkilldescLaz438	SkilldescLaz438	SkillnameLaz438	5																36	BombDurationSingular	BombDuration	ln56	25	75	StrSkill5		enma	exma	74	BombCount		6+(lvl/clc4)																	36	BlastRadius	BlastRadius	par1*2	3											36	TimerDuration	TimerDuration	250	25	36	StrSkill3		usmc	256											40	VengeanceSkill		1		18	VengeanceSkillExplanation				74	StrSkill24		skill('New Vengeance'.dm12)												0
serpents eggs	ass	439	Saboteur	Serpent's Eggs	2	1	3	2	20	SkillnameLaz439	SkilldescLaz439	SkilldescLaz439	SkillnameLaz439	5																36	BombDurationSingular	BombDuration	ln56	25	36	StrSkillFreezeLengthSingular	StrSkill29	edln	25	75	StrSkill6		enma	exma	74	BombCount		dm12												36	BlastRadius	BlastRadius	par8*2	3	36	StrSkillRangeSingular	ThrowRange	(24*14/25)*2	3						36	TimerDuration	TimerDuration	250	25	36	StrSkill3		usmc	256											40	VengeanceSkill		1		18	VengeanceSkillExplanation				74	StrSkill24		skill('New Vengeance'.dm12)												0
fan of knives	ass	440	Saboteur	Fan of Knives	2	2	1	2	22	SkillnameLaz440	SkilldescLaz440	SkilldescLaz440	SkillnameLaz440	5												1				36	StrSkillPoisonLengthSingular	StrSkill63	edln	25	75	StrSkill8		enms*edln/256	exms*edln/256	74	StrSkill22		toht																	74	WeapDamsk		64*100/128		74	KnifeCount		3							36	TimerDuration	TimerDuration	250	25	36	StrSkill3		usmc	256	40	ReqThrowingKnife		8		18	BlankRow				40	VengeanceSkill		1		18	VengeanceSkillExplanation				74	StrSkill24		skill('New Vengeance'.dm12)												0
thumper	ass	441	Saboteur	Thumper	2	2	2	2	24	SkillnameLaz441	SkilldescLaz441	SkilldescLaz441	SkillnameLaz441	5																36	StrSkillStunLengthSingular	StrSkill48	min(ln34,250)	25	75	StrSkill7		enma	exma																					36	EMPFuseSingular	EMPFuse	100	25	36	StrSkillRadiusSingular	StrSkill18	(10*24/25)*2	3						36	TimerDuration	TimerDuration	250	25	36	StrSkill3		usmc	256											40	VengeanceSkill		1		18	VengeanceSkillExplanation				74	StrSkill24		skill('New Vengeance'.dm12)												0
spider flask	ass	442	Saboteur	Spider Flask	2	2	3	2	26	SkillnameLaz442	SkilldescLaz442	SkilldescLaz442	SkillnameLaz442	5												1				36	TrapDurationSingular	TrapDuration	ln56	25	36	StrSkillPoisonLengthSingular	StrSkill63	edln	25	75	StrSkill8		enms*edln/256	exms*edln/256	74	StrSkill22		toht												36	StrSkillRadiusSingular	StrSkill18	10*2	3	74	SpiderCount		20							36	TimerDuration	TimerDuration	250	25	36	StrSkill3		usmc	256	40	ReqThrowingKnife		8		18	BlankRow				40	VengeanceSkill		1		18	VengeanceSkillExplanation				74	StrSkill24		skill('New Vengeance'.dm12)												0
naja nest	ass	443	Saboteur	Naja Nest	2	3	1	2	28	SkillnameLaz443	SkilldescLaz443	SkilldescLaz443	SkillnameLaz443	5																36	StrSkillDurationSingular	StrSkill20	ln34	25	74	BombCount		ln34/clc4		36	BombDurationSingular	BombDuration	ln56	25	75	StrSkill5		enma	exma											36	BlastRadius	BlastRadius	par1*2	3	36	StrSkillRadiusSingular	StrSkill18	15*2	3						36	TimerDuration	TimerDuration	250	25	36	StrSkill3		usmc	256											40	VengeanceSkill		1		18	VengeanceSkillExplanation				74	StrSkill24		skill('New Vengeance'.dm12)												0
deathstrike	ass	444	Saboteur	Deathstrike	2	3	2	2	30	SkillnameLaz444	SkilldescLaz444	SkilldescLaz444	SkillnameLaz444	5												1				36	StrSkillPoisonLengthSingular	StrSkill63	edln	25	75	StrSkill8		enms*edln/256	exms*edln/256	74	StrSkill22		toht																	36	StrSkillRangeSingular	StrSkill56	(30*40/25)*2	3																36	StrSkill3		usmc	256	40	ReqThrowingKnife		8																																0
azure lotus	ass	445	Demon Hunter	Azure Lotus	1	1	1	3	32	SkillnameLaz445	SkilldescLaz445	SkilldescLaz445	SkillnameLaz445																	74	StrSkill88		ln12																																															36	StrSkill3		usmc	256																																				0
cold blood	ass	446	Demon Hunter	Cold Blood	1	1	2	3	34	SkillnameLaz446	SkilldescLaz446	SkilldescLaz446	SkillnameLaz446																	74	StrSkill24		dm12																																															36	StrSkill3		usmc	256																																				0
crimson lotus	ass	447	Demon Hunter	Crimson Lotus	1	1	3	3	36	SkillnameLaz447	SkilldescLaz447	SkilldescLaz447	SkillnameLaz447																	74	SkillHealPerSec		edmn																																															36	StrSkill3		usmc	256																																				0
new weapon block	ass	448	Demon Hunter	Weapon Block	1	2	1	3	38	SkillnameLaz448	SkilldescLaz448	SkilldescLaz448	SkillnameLaz448																	74	StrSkill24		dm12																																																				40	ReqTwoClaws		8																																0
allure	ass	449	Demon Hunter	Allure	1	2	2	3	40	SkillnameLaz449	SkilldescLaz449	SkilldescLaz449	SkillnameLaz449																	36	StrSkillDurationSingular	StrSkill20	ln78	25	74	OrdealSpeed		dm34		74	OrdealAttackRating		ln12																																					36	StrSkill3		usmc	256																																				0
hidden knives	ass	450	Demon Hunter	Hidden Knives	1	2	3	3	42	SkillnameLaz450	SkilldescLaz450	SkilldescLaz450	SkillnameLaz450																	74	StrSkill24		dm12																																																																																							0
psychic scream	ass	451	Demon Hunter	Psychic Scream	1	3	1	3	44	SkillnameLaz451	SkilldescLaz451	SkilldescLaz451	SkillnameLaz451																	36	StrSkillDurationSingular	StrSkill20	ln56	25																										36	StrSkillRadiusSingular	StrSkill18	12*2	3											36	TimerDuration	TimerDuration	250	25	36	StrSkill3		usmc	256											40	VengeanceSkill		1		18	VengeanceSkillExplanation				74	StrSkill24		skill('New Vengeance'.dm12)												0
blur	ass	452	Demon Hunter	Blur	1	3	2	3	46	SkillnameLaz452	SkilldescLaz452	SkilldescLaz452	SkillnameLaz452																	74	StrSkill24		dm12																																																																																							0
