description	*Laz/Usage	enabled	ladder	min diff	version	op	param	value	class	numinputs	input 1	input 2	input 3	input 4	input 5	input 6	input 7	output	lvl	plvl	ilvl	mod 1	mod 1 chance	mod 1 param	mod 1 min	mod 1 max	mod 2	mod 2 chance	mod 2 param	mod 2 min	mod 2 max	mod 3	mod 3 chance	mod 3 param	mod 3 min	mod 3 max	mod 4	mod 4 chance	mod 4 param	mod 4 min	mod 4 max	mod 5	mod 5 chance	mod 5 param	mod 5 min	mod 5 max	output b	b lvl	b plvl	b ilvl	b mod 1	b mod 1 chance	b mod 1 param	b mod 1 min	b mod 1 max	b mod 2	b mod 2 chance	b mod 2 param	b mod 2 min	b mod 2 max	b mod 3	b mod 3 chance	b mod 3 param	b mod 3 min	b mod 3 max	b mod 4	b mod 4 chance	b mod 4 param	b mod 4 min	b mod 4 max	b mod 5	b mod 5 chance	b mod 5 param	b mod 5 min	b mod 5 max	output c	c lvl	c plvl	c ilvl	c mod 1	c mod 1 chance	c mod 1 param	c mod 1 min	c mod 1 max	c mod 2	c mod 2 chance	c mod 2 param	c mod 2 min	c mod 2 max	c mod 3	c mod 3 chance	c mod 3 param	c mod 3 min	c mod 3 max	c mod 4	c mod 4 chance	c mod 4 param	c mod 4 min	c mod 4 max	c mod 5	c mod 5 chance	c mod 5 param	c mod 5 min	c mod 5 max	*eol
Any equipment + Cube Gemstone Eye = reroll as high level rare	Crafting Unique	1			0	3	12	50		2	anyx	ix2						usetype,rar	65			levelreq			-10	-10																																																																															0
Any equipment + Cube Gemstone Eye = reroll as high level rare	Crafting Unique	1			0	3	12	49		2	anyx	ix2						usetype,rar	64			levelreq			-10	-10																																																																															0
Any equipment + Cube Gemstone Eye = reroll as high level rare	Crafting Unique	1			0	3	12	48		2	anyx	ix2						usetype,rar	63			levelreq			-10	-10																																																																															0
Any equipment + Cube Gemstone Eye = reroll as high level rare	Crafting Unique	1			0	3	12	47		2	anyx	ix2						usetype,rar	62			levelreq			-10	-10																																																																															0
Any equipment + Cube Gemstone Eye = reroll as high level rare	Crafting Unique	1			0	3	12	46		2	anyx	ix2						usetype,rar	61			levelreq			-10	-10																																																																															0
Any equipment + Cube Gemstone Eye = reroll as high level rare	Crafting Unique	1			0	3	12	45		2	anyx	ix2						usetype,rar	60			levelreq			-10	-10																																																																															0
Any equipment + Cube Gemstone Eye = reroll as high level rare	Crafting Unique	1			0	3	12	44		2	anyx	ix2						usetype,rar	59			levelreq			-10	-10																																																																															0
Any equipment + Cube Gemstone Eye = reroll as high level rare	Crafting Unique	1			0	3	12	43		2	anyx	ix2						usetype,rar	58			levelreq			-10	-10																																																																															0
Any equipment + Cube Gemstone Eye = reroll as high level rare	Crafting Unique	1			0	3	12	42		2	anyx	ix2						usetype,rar	57			levelreq			-10	-10																																																																															0
Any equipment + Cube Gemstone Eye = reroll as high level rare	Crafting Unique	1			0	3	12	41		2	anyx	ix2						usetype,rar	56			levelreq			-10	-10																																																																															0
Any equipment + Cube Gemstone Eye = reroll as high level rare	Crafting Unique	1			0	3	12	40		2	anyx	ix2						usetype,rar	55			levelreq			-10	-10																																																																															0
Any equipment + Cube Gemstone Eye = reroll as high level rare	Crafting Unique	1			0	3	12	39		2	anyx	ix2						usetype,rar	54			levelreq			-10	-10																																																																															0
Any equipment + Cube Gemstone Eye = reroll as high level rare	Crafting Unique	1			0	3	12	38		2	anyx	ix2						usetype,rar	53			levelreq			-10	-10																																																																															0
Any equipment + Cube Gemstone Eye = reroll as high level rare	Crafting Unique	1			0	3	12	37		2	anyx	ix2						usetype,rar	52			levelreq			-10	-10																																																																															0
Any equipment + Cube Gemstone Eye = reroll as high level rare	Crafting Unique	1			0	3	12	36		2	anyx	ix2						usetype,rar	51			levelreq			-10	-10																																																																															0
Any equipment + Cube Gemstone Eye = reroll as high level rare	Crafting Unique	1			0	3	12	35		2	anyx	ix2						usetype,rar	50			levelreq			-10	-10																																																																															0
Any equipment + Cube Gemstone Eye = reroll as high level rare	Crafting Unique	1			0	3	12	34		2	anyx	ix2						usetype,rar	49			levelreq			-10	-10																																																																															0
Any equipment + Cube Gemstone Eye = reroll as high level rare	Crafting Unique	1			0	3	12	33		2	anyx	ix2						usetype,rar	48			levelreq			-10	-10																																																																															0
Any equipment + Cube Gemstone Eye = reroll as high level rare	Crafting Unique	1			0	3	12	32		2	anyx	ix2						usetype,rar	47			levelreq			-10	-10																																																																															0
Any equipment + Cube Gemstone Eye = reroll as high level rare	Crafting Unique	1			0	3	12	31		2	anyx	ix2						usetype,rar	46			levelreq			-10	-10																																																																															0
Any equipment + Cube Gemstone Eye = reroll as high level rare	Crafting Unique	1			0	3	12	30		2	anyx	ix2						usetype,rar	45			levelreq			-10	-10																																																																															0
Any equipment + Cube Gemstone Eye = reroll as high level rare	Crafting Unique	1			0	3	12	29		2	anyx	ix2						usetype,rar	44			levelreq			-10	-10																																																																															0
Any equipment + Cube Gemstone Eye = reroll as high level rare	Crafting Unique	1			0	3	12	28		2	anyx	ix2						usetype,rar	43			levelreq			-10	-10																																																																															0
Any equipment + Cube Gemstone Eye = reroll as high level rare	Crafting Unique	1			0	3	12	27		2	anyx	ix2						usetype,rar	42			levelreq			-10	-10																																																																															0
Any equipment + Cube Gemstone Eye = reroll as high level rare	Crafting Unique	1			0	3	12	26		2	anyx	ix2						usetype,rar	41			levelreq			-10	-10																																																																															0
Any equipment + Cube Gemstone Eye = reroll as high level rare	Crafting Unique	1			0	3	12	25		2	anyx	ix2						usetype,rar	40			levelreq			-10	-10																																																																															0
Any equipment + Cube Gemstone Eye = reroll as high level rare	Crafting Unique	1			0	3	12	24		2	anyx	ix2						usetype,rar	39			levelreq			-10	-10																																																																															0
Any equipment + Cube Gemstone Eye = reroll as high level rare	Crafting Unique	1			0	3	12	23		2	anyx	ix2						usetype,rar	38			levelreq			-10	-10																																																																															0
Any equipment + Cube Gemstone Eye = reroll as high level rare	Crafting Unique	1			0	3	12	22		2	anyx	ix2						usetype,rar	37			levelreq			-10	-10																																																																															0
Any equipment + Cube Gemstone Eye = reroll as high level rare	Crafting Unique	1			0	3	12	21		2	anyx	ix2						usetype,rar	36			levelreq			-10	-10																																																																															0
Any equipment + Cube Gemstone Eye = reroll as high level rare	Crafting Unique	1			0	3	12	20		2	anyx	ix2						usetype,rar	35			levelreq			-10	-10																																																																															0
Any equipment + Cube Gemstone Eye = reroll as high level rare	Crafting Unique	1			0	3	12	19		2	anyx	ix2						usetype,rar	34			levelreq			-10	-10																																																																															0
Any equipment + Cube Gemstone Eye = reroll as high level rare	Crafting Unique	1			0	3	12	18		2	anyx	ix2						usetype,rar	33			levelreq			-10	-10																																																																															0
Any equipment + Cube Gemstone Eye = reroll as high level rare	Crafting Unique	1			0	3	12	17		2	anyx	ix2						usetype,rar	32			levelreq			-10	-10																																																																															0
Any equipment + Cube Gemstone Eye = reroll as high level rare	Crafting Unique	1			0	3	12	16		2	anyx	ix2						usetype,rar	31			levelreq			-10	-10																																																																															0
Any equipment + Cube Gemstone Eye = reroll as high level rare	Crafting Unique	1			0	3	12	15		2	anyx	ix2						usetype,rar	30			levelreq			-10	-10																																																																															0
Any equipment + Cube Gemstone Eye = reroll as high level rare	Crafting Unique	1			0	3	12	14		2	anyx	ix2						usetype,rar	29			levelreq			-10	-10																																																																															0
Any equipment + Cube Gemstone Eye = reroll as high level rare	Crafting Unique	1			0	3	12	13		2	anyx	ix2						usetype,rar	28			levelreq			-10	-10																																																																															0
Any equipment + Cube Gemstone Eye = reroll as high level rare	Crafting Unique	1			0	3	12	12		2	anyx	ix2						usetype,rar	27			levelreq			-10	-10																																																																															0
Any equipment + Cube Gemstone Eye = reroll as high level rare	Crafting Unique	1			0	3	12	11		2	anyx	ix2						usetype,rar	26			levelreq			-10	-10																																																																															0
Any equipment + Cube Gemstone Eye = reroll as high level rare	Crafting Unique	1			0	3	12	10		2	anyx	ix2						usetype,rar	25			levelreq			-10	-10																																																																															0
Any equipment + Cube Gemstone Eye = reroll as high level rare	Crafting Unique	1			0	3	12	9		2	anyx	ix2						usetype,rar	24			levelreq			-10	-10																																																																															0
Any equipment + Cube Gemstone Eye = reroll as high level rare	Crafting Unique	1			0	3	12	8		2	anyx	ix2						usetype,rar	23			levelreq			-10	-10																																																																															0
Any equipment + Cube Gemstone Eye = reroll as high level rare	Crafting Unique	1			0	3	12	7		2	anyx	ix2						usetype,rar	22			levelreq			-10	-10																																																																															0
Any equipment + Cube Gemstone Eye = reroll as high level rare	Crafting Unique	1			0	3	12	6		2	anyx	ix2						usetype,rar	21			levelreq			-10	-10																																																																															0
Any equipment + Cube Gemstone Eye = reroll as high level rare	Crafting Unique	1			0	3	12	5		2	anyx	ix2						usetype,rar	20			levelreq			-10	-10																																																																															0
Any equipment + Cube Gemstone Eye = reroll as high level rare	Crafting Unique	1			0	3	12	4		2	anyx	ix2						usetype,rar	19			levelreq			-10	-10																																																																															0
Any equipment + Cube Gemstone Eye = reroll as high level rare	Crafting Unique	1			0	3	12	3		2	anyx	ix2						usetype,rar	18			levelreq			-10	-10																																																																															0
Any equipment + Cube Gemstone Eye = reroll as high level rare	Crafting Unique	1			0	3	12	2		2	anyx	ix2						usetype,rar	17			levelreq			-10	-10																																																																															0
Any equipment + Cube Gemstone Eye = reroll as high level rare	Crafting Unique	1			0	3	12	1		2	anyx	ix2						usetype,rar	16			levelreq			-10	-10																																																																															0
Any equipment + Cube Gemstone Eye = reroll as high level rare	Crafting Unique	1			0	3	12	0		2	anyx	ix2						usetype,rar	15			levelreq			-10	-10																																																																															0
Any equipment + Cube Nail = add one socket	Crafting Unique	1			0					2	anyx,nos	ix3						useitem,sock=1			100																																																																																				0
Cube Poe Key = key and itself	Crafting Unique	1			0	15	478	50		1	ix4							ix4				keystack			-1	-1																					key,qty=1																																																										0
Cube Poe Key = key and itself	Crafting Unique	1			0	15	478	49		1	ix4							ix4				keystack			-2	-2																					key,qty=1																																																										0
Cube Poe Key = key and itself	Crafting Unique	1			0	15	478	48		1	ix4							ix4				keystack			-3	-3																					key,qty=1																																																										0
Cube Poe Key = key and itself	Crafting Unique	1			0	15	478	47		1	ix4							ix4				keystack			-4	-4																					key,qty=1																																																										0
Cube Poe Key = key and itself	Crafting Unique	1			0	15	478	46		1	ix4							ix4				keystack			-5	-5																					key,qty=1																																																										0
Cube Poe Key = key and itself	Crafting Unique	1			0	15	478	45		1	ix4							ix4				keystack			-6	-6																					key,qty=1																																																										0
Cube Poe Key = key and itself	Crafting Unique	1			0	15	478	44		1	ix4							ix4				keystack			-7	-7																					key,qty=1																																																										0
Cube Poe Key = key and itself	Crafting Unique	1			0	15	478	43		1	ix4							ix4				keystack			-8	-8																					key,qty=1																																																										0
Cube Poe Key = key and itself	Crafting Unique	1			0	15	478	42		1	ix4							ix4				keystack			-9	-9																					key,qty=1																																																										0
Cube Poe Key = key and itself	Crafting Unique	1			0	15	478	41		1	ix4							ix4				keystack			-10	-10																					key,qty=1																																																										0
Cube Poe Key = key and itself	Crafting Unique	1			0	15	478	40		1	ix4							ix4				keystack			-11	-11																					key,qty=1																																																										0
Cube Poe Key = key and itself	Crafting Unique	1			0	15	478	39		1	ix4							ix4				keystack			-12	-12																					key,qty=1																																																										0
Cube Poe Key = key and itself	Crafting Unique	1			0	15	478	38		1	ix4							ix4				keystack			-13	-13																					key,qty=1																																																										0
Cube Poe Key = key and itself	Crafting Unique	1			0	15	478	37		1	ix4							ix4				keystack			-14	-14																					key,qty=1																																																										0
Cube Poe Key = key and itself	Crafting Unique	1			0	15	478	36		1	ix4							ix4				keystack			-15	-15																					key,qty=1																																																										0
Cube Poe Key = key and itself	Crafting Unique	1			0	15	478	35		1	ix4							ix4				keystack			-16	-16																					key,qty=1																																																										0
Cube Poe Key = key and itself	Crafting Unique	1			0	15	478	34		1	ix4							ix4				keystack			-17	-17																					key,qty=1																																																										0
Cube Poe Key = key and itself	Crafting Unique	1			0	15	478	33		1	ix4							ix4				keystack			-18	-18																					key,qty=1																																																										0
Cube Poe Key = key and itself	Crafting Unique	1			0	15	478	32		1	ix4							ix4				keystack			-19	-19																					key,qty=1																																																										0
Cube Poe Key = key and itself	Crafting Unique	1			0	15	478	31		1	ix4							ix4				keystack			-20	-20																					key,qty=1																																																										0
Cube Poe Key = key and itself	Crafting Unique	1			0	15	478	30		1	ix4							ix4				keystack			-21	-21																					key,qty=1																																																										0
Cube Poe Key = key and itself	Crafting Unique	1			0	15	478	29		1	ix4							ix4				keystack			-22	-22																					key,qty=1																																																										0
Cube Poe Key = key and itself	Crafting Unique	1			0	15	478	28		1	ix4							ix4				keystack			-23	-23																					key,qty=1																																																										0
Cube Poe Key = key and itself	Crafting Unique	1			0	15	478	27		1	ix4							ix4				keystack			-24	-24																					key,qty=1																																																										0
Cube Poe Key = key and itself	Crafting Unique	1			0	15	478	26		1	ix4							ix4				keystack			-25	-25																					key,qty=1																																																										0
Cube Poe Key = key and itself	Crafting Unique	1			0	15	478	25		1	ix4							ix4				keystack			-26	-26																					key,qty=1																																																										0
Cube Poe Key = key and itself	Crafting Unique	1			0	15	478	24		1	ix4							ix4				keystack			-27	-27																					key,qty=1																																																										0
Cube Poe Key = key and itself	Crafting Unique	1			0	15	478	23		1	ix4							ix4				keystack			-28	-28																					key,qty=1																																																										0
Cube Poe Key = key and itself	Crafting Unique	1			0	15	478	22		1	ix4							ix4				keystack			-29	-29																					key,qty=1																																																										0
Cube Poe Key = key and itself	Crafting Unique	1			0	15	478	21		1	ix4							ix4				keystack			-30	-30																					key,qty=1																																																										0
Cube Poe Key = key and itself	Crafting Unique	1			0	15	478	20		1	ix4							ix4				keystack			-31	-31																					key,qty=1																																																										0
Cube Poe Key = key and itself	Crafting Unique	1			0	15	478	19		1	ix4							ix4				keystack			-32	-32																					key,qty=1																																																										0
Cube Poe Key = key and itself	Crafting Unique	1			0	15	478	18		1	ix4							ix4				keystack			-33	-33																					key,qty=1																																																										0
Cube Poe Key = key and itself	Crafting Unique	1			0	15	478	17		1	ix4							ix4				keystack			-34	-34																					key,qty=1																																																										0
Cube Poe Key = key and itself	Crafting Unique	1			0	15	478	16		1	ix4							ix4				keystack			-35	-35																					key,qty=1																																																										0
Cube Poe Key = key and itself	Crafting Unique	1			0	15	478	15		1	ix4							ix4				keystack			-36	-36																					key,qty=1																																																										0
Cube Poe Key = key and itself	Crafting Unique	1			0	15	478	14		1	ix4							ix4				keystack			-37	-37																					key,qty=1																																																										0
Cube Poe Key = key and itself	Crafting Unique	1			0	15	478	13		1	ix4							ix4				keystack			-38	-38																					key,qty=1																																																										0
Cube Poe Key = key and itself	Crafting Unique	1			0	15	478	12		1	ix4							ix4				keystack			-39	-39																					key,qty=1																																																										0
Cube Poe Key = key and itself	Crafting Unique	1			0	15	478	11		1	ix4							ix4				keystack			-40	-40																					key,qty=1																																																										0
Cube Poe Key = key and itself	Crafting Unique	1			0	15	478	10		1	ix4							ix4				keystack			-41	-41																					key,qty=1																																																										0
Cube Poe Key = key and itself	Crafting Unique	1			0	15	478	9		1	ix4							ix4				keystack			-42	-42																					key,qty=1																																																										0
Cube Poe Key = key and itself	Crafting Unique	1			0	15	478	8		1	ix4							ix4				keystack			-43	-43																					key,qty=1																																																										0
Cube Poe Key = key and itself	Crafting Unique	1			0	15	478	7		1	ix4							ix4				keystack			-44	-44																					key,qty=1																																																										0
Cube Poe Key = key and itself	Crafting Unique	1			0	15	478	6		1	ix4							ix4				keystack			-45	-45																					key,qty=1																																																										0
Cube Poe Key = key and itself	Crafting Unique	1			0	15	478	5		1	ix4							ix4				keystack			-46	-46																					key,qty=1																																																										0
Cube Poe Key = key and itself	Crafting Unique	1			0	15	478	4		1	ix4							ix4				keystack			-47	-47																					key,qty=1																																																										0
Cube Poe Key = key and itself	Crafting Unique	1			0	15	478	3		1	ix4							ix4				keystack			-48	-48																					key,qty=1																																																										0
Cube Poe Key = key and itself	Crafting Unique	1			0	15	478	2		1	ix4							ix4				keystack			-49	-49																					key,qty=1																																																										0
Cube Poe Key = key and itself	Crafting Unique	1			0	15	478	1		1	ix4							ix4				keystack			-50	-50																					key,qty=1																																																										0
Cube Poe Key + rune = recharge	Crafting Unique	1			0					2	ix4	rune						ix4																																																																																							0
Rune + Cube Pyramid = Cube Pyramid + 2 runes	Crafting Unique	1			0	15	482	2		2	ix5	r01						useitem				chargestack			-1	-1																					r01																													r01																													0
Rune + Cube Pyramid = Cube Pyramid + 2 runes	Crafting Unique	1			0	15	482	2		2	ix5	r02						useitem				chargestack			-1	-1																					r02																													r02																													0
Rune + Cube Pyramid = Cube Pyramid + 2 runes	Crafting Unique	1			0	15	482	2		2	ix5	r03						useitem				chargestack			-1	-1																					r03																													r03																													0
Rune + Cube Pyramid = Cube Pyramid + 2 runes	Crafting Unique	1			0	15	482	2		2	ix5	r04						useitem				chargestack			-1	-1																					r04																													r04																													0
Rune + Cube Pyramid = Cube Pyramid + 2 runes	Crafting Unique	1			0	15	482	2		2	ix5	r05						useitem				chargestack			-1	-1																					r05																													r05																													0
Rune + Cube Pyramid = Cube Pyramid + 2 runes	Crafting Unique	1			0	15	482	2		2	ix5	r06						useitem				chargestack			-1	-1																					r06																													r06																													0
Rune + Cube Pyramid = Cube Pyramid + 2 runes	Crafting Unique	1			0	15	482	2		2	ix5	r07						useitem				chargestack			-1	-1																					r07																													r07																													0
Rune + Cube Pyramid = Cube Pyramid + 2 runes	Crafting Unique	1			0	15	482	2		2	ix5	r08						useitem				chargestack			-1	-1																					r08																													r08																													0
Rune + Cube Pyramid = Cube Pyramid + 2 runes	Crafting Unique	1			0	15	482	2		2	ix5	r09						useitem				chargestack			-1	-1																					r09																													r09																													0
Rune + Cube Pyramid = Cube Pyramid + 2 runes	Crafting Unique	1			0	15	482	2		2	ix5	r10						useitem				chargestack			-1	-1																					r10																													r10																													0
Rune + Cube Pyramid = Cube Pyramid + 2 runes	Crafting Unique	1			0	15	482	2		2	ix5	r11						useitem				chargestack			-1	-1																					r11																													r11																													0
Rune + Cube Pyramid = Cube Pyramid + 2 runes	Crafting Unique	1			0	15	482	2		2	ix5	r12						useitem				chargestack			-1	-1																					r12																													r12																													0
Rune + Cube Pyramid = Cube Pyramid + 2 runes	Crafting Unique	1			0	15	482	2		2	ix5	r13						useitem				chargestack			-1	-1																					r13																													r13																													0
Rune + Cube Pyramid = Cube Pyramid + 2 runes	Crafting Unique	1			0	15	482	2		2	ix5	r14						useitem				chargestack			-1	-1																					r14																													r14																													0
Rune + Cube Pyramid = Cube Pyramid + 2 runes	Crafting Unique	1			0	15	482	2		2	ix5	r15						useitem				chargestack			-1	-1																					r15																													r15																													0
Rune + Cube Pyramid = Cube Pyramid + 2 runes	Crafting Unique	1			0	15	482	2		2	ix5	r16						useitem				chargestack			-1	-1																					r16																													r16																													0
Rune + Cube Pyramid = Cube Pyramid + 2 runes	Crafting Unique	1			0	15	482	2		2	ix5	r17						useitem				chargestack			-1	-1																					r17																													r17																													0
Rune + Cube Pyramid = Cube Pyramid + 2 runes	Crafting Unique	1			0	15	482	2		2	ix5	r18						useitem				chargestack			-1	-1																					r18																													r18																													0
Rune + Cube Pyramid = Cube Pyramid + 2 runes	Crafting Unique	1			0	15	482	2		2	ix5	r19						useitem				chargestack			-1	-1																					r19																													r19																													0
Rune + Cube Pyramid = Cube Pyramid + 2 runes	Crafting Unique	1			0	15	482	2		2	ix5	r20						useitem				chargestack			-1	-1																					r20																													r20																													0
Rune + Cube Pyramid = Cube Pyramid + 2 runes	Crafting Unique	1			0	15	482	2		2	ix5	r21						useitem				chargestack			-1	-1																					r21																													r21																													0
Rune + Cube Pyramid = Cube Pyramid + 2 runes	Crafting Unique	1			0	15	482	2		2	ix5	r22						useitem				chargestack			-1	-1																					r22																													r22																													0
Rune + Cube Pyramid = Cube Pyramid + 2 runes	Crafting Unique	1			0	15	482	2		2	ix5	r23						useitem				chargestack			-1	-1																					r23																													r23																													0
Rune + Cube Pyramid = Cube Pyramid + 2 runes	Crafting Unique	1			0	15	482	2		2	ix5	r24						useitem				chargestack			-1	-1																					r24																													r24																													0
Rune + Cube Pyramid = Cube Pyramid + 2 runes	Crafting Unique	1			0	15	482	2		2	ix5	r25						useitem				chargestack			-1	-1																					r25																													r25																													0
Rune + Cube Pyramid = Cube Pyramid + 2 runes	Crafting Unique	1			0	15	482	2		2	ix5	r26						useitem				chargestack			-1	-1																					r26																													r26																													0
Rune + Cube Pyramid = Cube Pyramid + 2 runes	Crafting Unique	1			0	15	482	2		2	ix5	r27						useitem				chargestack			-1	-1																					r27																													r27																													0
Rune + Cube Pyramid = Cube Pyramid + 2 runes	Crafting Unique	1			0	15	482	2		2	ix5	r28						useitem				chargestack			-1	-1																					r28																													r28																													0
Rune + Cube Pyramid = Cube Pyramid + 2 runes	Crafting Unique	1			0	15	482	2		2	ix5	r29						useitem				chargestack			-1	-1																					r29																													r29																													0
Rune + Cube Pyramid = Cube Pyramid + 2 runes	Crafting Unique	1			0	15	482	2		2	ix5	r30						useitem				chargestack			-1	-1																					r30																													r30																													0
Rune + Cube Pyramid = Cube Pyramid + 2 runes	Crafting Unique	1			0	15	482	2		2	ix5	r31						useitem				chargestack			-1	-1																					r31																													r31																													0
Rune + Cube Pyramid = Cube Pyramid + 2 runes	Crafting Unique	1			0	15	482	2		2	ix5	r32						useitem				chargestack			-1	-1																					r32																													r32																													0
Rune + Cube Pyramid = Cube Pyramid + 2 runes	Crafting Unique	1			0	15	482	2		2	ix5	r33						useitem				chargestack			-1	-1																					r33																													r33																													0
Rune + Cube Pyramid = Cube Pyramid + 2 runes	Crafting Unique	1			0	15	482	2		2	ix5	r34						useitem				chargestack			-1	-1																					r34																													r34																													0
Rune + Cube Pyramid = Cube Pyramid + 2 runes	Crafting Unique	1			0	15	482	2		2	ix5	r35						useitem				chargestack			-1	-1																					r35																													r35																													0
Rune + Cube Pyramid = Cube Pyramid + 2 runes	Crafting Unique	1			0	15	482	2		2	ix5	r36						useitem				chargestack			-1	-1																					r36																													r36																													0
Rune + Cube Pyramid = Cube Pyramid + 2 runes	Crafting Unique	1			0	15	482	2		2	ix5	r37						useitem				chargestack			-1	-1																					r37																													r37																													0
Rune + Cube Pyramid = Cube Pyramid + 2 runes	Crafting Unique	1			0	15	482	2		2	ix5	r38						useitem				chargestack			-1	-1																					r38																													r38																													0
Rune + Cube Pyramid = Cube Pyramid + 2 runes	Crafting Unique	1			0	15	482	2		2	ix5	r39						useitem				chargestack			-1	-1																					r39																													r39																													0
Rune + Cube Pyramid = Cube Pyramid + 2 runes	Crafting Unique	1			0	15	482	2		2	ix5	r40						useitem				chargestack			-1	-1																					r40																													r40																													0
Rune + Cube Pyramid = Cube Pyramid + 2 runes	Crafting Unique	1			0	15	482	2		2	ix5	r41						useitem				chargestack			-1	-1																					r41																													r41																													0
Rune + Cube Pyramid = Cube Pyramid + 2 runes	Crafting Unique	1			0	15	482	2		2	ix5	r42						useitem				chargestack			-1	-1																					r42																													r42																													0
Rune + Cube Pyramid = Cube Pyramid + 2 runes	Crafting Unique	1			0	15	482	2		2	ix5	r43						useitem				chargestack			-1	-1																					r43																													r43																													0
Rune + Cube Pyramid = Cube Pyramid + 2 runes	Crafting Unique	1			0	15	482	2		2	ix5	r44						useitem				chargestack			-1	-1																					r44																													r44																													0
Rune + Cube Pyramid = Cube Pyramid + 2 runes	Crafting Unique	1			0	15	482	2		2	ix5	r45						useitem				chargestack			-1	-1																					r45																													r45																													0
Rune + Cube Pyramid = Cube Pyramid + 2 runes	Crafting Unique	1			0	15	482	2		2	ix5	r46						useitem				chargestack			-1	-1																					r46																													r46																													0
Rune + Cube Pyramid = Cube Pyramid + 2 runes	Crafting Unique	1			0	15	482	2		2	ix5	r47						useitem				chargestack			-1	-1																					r47																													r47																													0
Rune + Cube Pyramid = 2 runes	Crafting Unique	1			0					2	ix5	r01						r01																													r01																																																										0
Rune + Cube Pyramid = 2 runes	Crafting Unique	1			0					2	ix5	r02						r02																													r02																																																										0
Rune + Cube Pyramid = 2 runes	Crafting Unique	1			0					2	ix5	r03						r03																													r03																																																										0
Rune + Cube Pyramid = 2 runes	Crafting Unique	1			0					2	ix5	r04						r04																													r04																																																										0
Rune + Cube Pyramid = 2 runes	Crafting Unique	1			0					2	ix5	r05						r05																													r05																																																										0
Rune + Cube Pyramid = 2 runes	Crafting Unique	1			0					2	ix5	r06						r06																													r06																																																										0
Rune + Cube Pyramid = 2 runes	Crafting Unique	1			0					2	ix5	r07						r07																													r07																																																										0
Rune + Cube Pyramid = 2 runes	Crafting Unique	1			0					2	ix5	r08						r08																													r08																																																										0
Rune + Cube Pyramid = 2 runes	Crafting Unique	1			0					2	ix5	r09						r09																													r09																																																										0
Rune + Cube Pyramid = 2 runes	Crafting Unique	1			0					2	ix5	r10						r10																													r10																																																										0
Rune + Cube Pyramid = 2 runes	Crafting Unique	1			0					2	ix5	r11						r11																													r11																																																										0
Rune + Cube Pyramid = 2 runes	Crafting Unique	1			0					2	ix5	r12						r12																													r12																																																										0
Rune + Cube Pyramid = 2 runes	Crafting Unique	1			0					2	ix5	r13						r13																													r13																																																										0
Rune + Cube Pyramid = 2 runes	Crafting Unique	1			0					2	ix5	r14						r14																													r14																																																										0
Rune + Cube Pyramid = 2 runes	Crafting Unique	1			0					2	ix5	r15						r15																													r15																																																										0
Rune + Cube Pyramid = 2 runes	Crafting Unique	1			0					2	ix5	r16						r16																													r16																																																										0
Rune + Cube Pyramid = 2 runes	Crafting Unique	1			0					2	ix5	r17						r17																													r17																																																										0
Rune + Cube Pyramid = 2 runes	Crafting Unique	1			0					2	ix5	r18						r18																													r18																																																										0
Rune + Cube Pyramid = 2 runes	Crafting Unique	1			0					2	ix5	r19						r19																													r19																																																										0
Rune + Cube Pyramid = 2 runes	Crafting Unique	1			0					2	ix5	r20						r20																													r20																																																										0
Rune + Cube Pyramid = 2 runes	Crafting Unique	1			0					2	ix5	r21						r21																													r21																																																										0
Rune + Cube Pyramid = 2 runes	Crafting Unique	1			0					2	ix5	r22						r22																													r22																																																										0
Rune + Cube Pyramid = 2 runes	Crafting Unique	1			0					2	ix5	r23						r23																													r23																																																										0
Rune + Cube Pyramid = 2 runes	Crafting Unique	1			0					2	ix5	r24						r24																													r24																																																										0
Rune + Cube Pyramid = 2 runes	Crafting Unique	1			0					2	ix5	r25						r25																													r25																																																										0
Rune + Cube Pyramid = 2 runes	Crafting Unique	1			0					2	ix5	r26						r26																													r26																																																										0
Rune + Cube Pyramid = 2 runes	Crafting Unique	1			0					2	ix5	r27						r27																													r27																																																										0
Rune + Cube Pyramid = 2 runes	Crafting Unique	1			0					2	ix5	r28						r28																													r28																																																										0
Rune + Cube Pyramid = 2 runes	Crafting Unique	1			0					2	ix5	r29						r29																													r29																																																										0
Rune + Cube Pyramid = 2 runes	Crafting Unique	1			0					2	ix5	r30						r30																													r30																																																										0
Rune + Cube Pyramid = 2 runes	Crafting Unique	1			0					2	ix5	r31						r31																													r31																																																										0
Rune + Cube Pyramid = 2 runes	Crafting Unique	1			0					2	ix5	r32						r32																													r32																																																										0
Rune + Cube Pyramid = 2 runes	Crafting Unique	1			0					2	ix5	r33						r33																													r33																																																										0
Rune + Cube Pyramid = 2 runes	Crafting Unique	1			0					2	ix5	r34						r34																													r34																																																										0
Rune + Cube Pyramid = 2 runes	Crafting Unique	1			0					2	ix5	r35						r35																													r35																																																										0
Rune + Cube Pyramid = 2 runes	Crafting Unique	1			0					2	ix5	r36						r36																													r36																																																										0
Rune + Cube Pyramid = 2 runes	Crafting Unique	1			0					2	ix5	r37						r37																													r37																																																										0
Rune + Cube Pyramid = 2 runes	Crafting Unique	1			0					2	ix5	r38						r38																													r38																																																										0
