skill	*Id	*Laz2	*Laz/Level	*Laz	charclass	skilldesc	srvstfunc	srvdofunc	srvstopfunc	prgstack	srvprgfunc1	srvprgfunc2	srvprgfunc3	prgcalc1	prgcalc2	prgcalc3	prgdam	srvmissile	decquant	lob	srvmissilea	srvmissileb	srvmissilec	useServerMissilesOnRemoteClients	srvoverlay	aurafilter	aurastate	auratargetstate	auralencalc	aurarangecalc	aurastat1	aurastatcalc1	aurastat2	aurastatcalc2	aurastat3	aurastatcalc3	aurastat4	aurastatcalc4	aurastat5	aurastatcalc5	aurastat6	aurastatcalc6	auraevent1	auraeventfunc1	auraevent2	auraeventfunc2	auraevent3	auraeventfunc3	passivestate	passiveitype	passivereqweaponcount	passivestat1	passivecalc1	passivestat2	passivecalc2	passivestat3	passivecalc3	passivestat4	passivecalc4	passivestat5	passivecalc5	passivestat6	passivecalc6	summon	pettype	petmax	summode	sumskill1	sumsk1calc	sumskill2	sumsk2calc	sumskill3	sumsk3calc	sumskill4	sumsk4calc	sumskill5	sumsk5calc	sumumod	sumoverlay	stsuccessonly	stsound	stsoundclass	stsounddelay	weaponsnd	dosound	dosound a	dosound b	tgtoverlay	tgtsound	prgoverlay	prgsound	castoverlay	cltoverlaya	cltoverlayb	cltstfunc	cltdofunc	cltstopfunc	cltprgfunc1	cltprgfunc2	cltprgfunc3	cltmissile	cltmissilea	cltmissileb	cltmissilec	cltmissiled	cltcalc1	*cltcalc1 desc	cltcalc2	*cltcalc2 desc	cltcalc3	*cltcalc3 desc	warp	immediate	enhanceable	attackrank	noammo	range	weapsel	itypea1	itypea2	itypea3	etypea1	etypea2	itypeb1	itypeb2	itypeb3	etypeb1	etypeb2	anim	seqtrans	monanim	seqnum	seqinput	durability	UseAttackRate	LineOfSight	TargetableOnly	SearchEnemyXY	SearchEnemyNear	SearchOpenXY	SelectProc	TargetCorpse	TargetPet	TargetAlly	TargetItem	AttackNoMana	TgtPlaceCheck	KeepCursorStateOnKill	ContinueCastUnselected	ClearSelectedOnHold	ItemEffect	ItemCltEffect	ItemTgtDo	ItemTarget	ItemCheckStart	ItemCltCheckStart	ItemCastSound	ItemCastOverlay	skpoints	reqlevel	maxlvl	reqstr	reqdex	reqint	reqvit	reqskill1	reqskill2	reqskill3	restrict	State1	State2	State3	localdelay	globaldelay	leftskill	rightskill	repeat	alwayshit	usemanaondo	startmana	minmana	manashift	mana	lvlmana	interrupt	InTown	aura	periodic	perdelay	finishing	prgchargestocast	prgchargesconsumed	passive	progressive	scroll	calc1	*calc1 desc	calc2	*calc2 desc	calc3	*calc3 desc	calc4	*calc4 desc	calc5	*calc5 desc	calc6	*calc6 desc	Param1	*Param1 Description	Param2	*Param2 Description	Param3	*Param3 Description	Param4	*Param4 Description	Param5	*Param5 Description	Param6	*Param6 Description	Param7	*Param7 Description	Param8	*Param8 Description	Param9	*Param9 Description	Param10	*Param10 Description2	Param11	*Param11 Description	Param12	*Param12 Description	InGame	ToHit	LevToHit	ToHitCalc	ResultFlags	HitFlags	HitClass	Kick	HitShift	SrcDam	MinDam	MinLevDam1	MinLevDam2	MinLevDam3	MinLevDam4	MinLevDam5	MaxDam	MaxLevDam1	MaxLevDam2	MaxLevDam3	MaxLevDam4	MaxLevDam5	DmgSymPerCalc	EType	EMin	EMinLev1	EMinLev2	EMinLev3	EMinLev4	EMinLev5	EMax	EMaxLev1	EMaxLev2	EMaxLev3	EMaxLev4	EMaxLev5	EDmgSymPerCalc	ELen	ELevLen1	ELevLen2	ELevLen3	ELenSymPerCalc	aitype	aibonus	cost mult	cost add	*eol
Wrath of the Berserker	628	item oskill		barbarian				18																			monfrenzy		par8		normal_damage_reduction	9999	magic_damage_reduction	9999	item_healwhenstruck	ln12																																														barbarian_shout_1																																1	1		none												SC	SC	SC				1																									24	10								1				par7-dm56		0	1					0	8	1	0	1	1																						10	heal when struck base	2	heal when struck per level					0	cooldown decrease min	200	cooldown decrease max	405	cooldown	75	duration									1								8																50	25	25	25	25	25													1			0	0
Fan of Spikes	629	monster				monster skill 629		8													spikefan																																																																											17						spikefan	spikefan											1	5		none												A1	A1	A1																				1									1															1	1					0	8	0	0	1											min(1+lvl,24)	# of missiles	par3	activation frame	3	# missiles that can trigger modifiers											1	activation frame																			1								8	128																																	5			0	0
Spike Nova	630	monster				monster skill 630		22													spikenova	spikenova	spikenova																																																																									25						spikenova				0	velocity adder							1	6		none												SC	A1	A1																				36	10								1															0	1					0	8	0	0	1											0	velocity adder																																			1								8	128																																				0	0
Bloodstar	631	monster				monster skill 631		10													bloodstar	bloodstar																																																																										18						bloodstar												1	7		none												SC	SC	S2																				1			4						1															1	1					0	8	0	0	1											0	damage %																																			1								1															pois	64	16	16	16	16	16	128	32	32	32	32	32	((stat('energy'.accr)*(100+stat('skillmod_sorceress_1'.accr)))/100)	25	10	10	10	stat('item_poisonspell_duration'.accr)+stat('skillmod_necromancer_1'.accr)				0	0
Helldive	632	monster				monster skill 632		27										helldivefireball												100																																																		1	sorceress_teleport	assassin_shadow_kick_1						dragonflight													helldivefireball											1		1	0		none		mele										SQ	A1	S2	21																												1															1	1		1			0	8	0	0	1											ln12	damage %											0	damage % base	0	damage % per level											1	always hit									1				8		112		8															fire	16	4	4	4	4	4	32	8	8	8	8	8	((stat('energy'.accr)*(100+stat('skillmod_sorceress_1'.accr)))/100)						13			0	0
Mass Amplify Damage	633	monster				monster skill 633		6																		34179		amplifydamage	ln34	ln56	damageresist	(-1)*dm56																																																	necromancer_curse_cast																																	1	1		none												SC	SC	xx					0															1						necromancer_curse_cast			1															0	1					0	8	0	0	1																							30	radius base	0	radius per level	75	duration base	5	duration per level	35	damage resistance % min	135	damage resistance % max													1								8																																		2			0	0
Mass Lower Resist	634	monster				monster skill 634		6																		34179		lowerresist	ln34	ln56	fireresist	(-1)*dm56	lightresist	(-1)*dm56	coldresist	(-1)*dm56	poisonresist	(-1)*dm56																																											necromancer_curse_cast																																	1	1		none												SC	SC	xx					0															1						necromancer_curse_cast			1															0	1					0	8	0	0	1																							30	radius base	0	radius per level	75	duration base	5	duration per level	24	resistance % penalty min	69	resistance % penalty max													1								8																																		2			0	0
Plow	635	monster				monster skill 635	31	67																																																																								1	paladin_charge											dust			25	37																		1	7		none		mele										S1	S1	A2	4	8				1	1	1																					1															1	1		1			0	8	0	0												ln34	damage %	par1	velocity %			0	% damage dealt as elemental					100	velocity %			50	damage %	0	damage % per level																	1								8	128														stun														75	10	10	10	stat('skillmod_barbarian_3'.accr)	13			0	0
Cave-In	636	monster				monster skill 636		43						ln12							caveinthrow									par3																																																							weapon_throw_1											5						caveinthrow												1	7		rng												TH	TH	A2				1																									1															1	1					0	8	0	0	1																							8	missiles base	1	missiles per level	6	radius																			1								8	96																																	5			0	0
Earthquake	637	monster				monster skill 637	6	11													earthquakewave	earthquakewave	earthquakewave																																																																									19					shakebig	earthquakewave	earthquakewave	earthquakewave										1	7		h2h		mele										A2	A2	xx				1		1	1								1														1															1	1					0	8	0	0	1											14	bolts created	ln34*(100+stat('skillmod_barbarian_3'.accr))/100	stun length			0	% damage dealt as elemental									75	stun length base	5	stun length per level																	1				8		112		8	64																																	4			0	0
Ram	638	monster				monster skill 638	31	67																																																																								1	paladin_charge														25	37																		1	5		none		mele										SQ	A1	xx	4		1				1								1														1															1	1					0	8	0	0	1											ln34	damage %	par1	velocity %			0	% damage dealt as elemental					100	velocity %			50	damage %	0	damage % per level																	1						96		8	128														stun														75	10	10	10	stat('skillmod_barbarian_3'.accr)	13			0	0
Burning Impact	639	monster				monster skill 639	6	11													burningimpactcenter	burningimpactcenter	burningimpactcenter																																																										sorceress_cast_fire											fire_cast_2				19						burningimpactcenter	burningimpactcenter	burningimpactcenter										1	7		h2h		mele										A2	A2	xx				1		1	1								1														1															1	1					0	8	0	0	1											1	bolts created	ln34*(100+stat('skillmod_barbarian_3'.accr))/100	stun length			50	% damage dealt as elemental									75	stun length base	5	stun length per level																	1				8		112		8	128														fire	6	3	3	3	3	3	10	5	5	5	5	5	((stat('energy'.accr)*(100+stat('skillmod_sorceress_1'.accr)))/100)						4			0	0
Frozen Impact	640	monster				monster skill 640	6	11													frozenimpactcenter	frozenimpactcenter	frozenimpactcenter																																																										sorceress_cast_cold											ice_cast_2				19						frozenimpactcenter	frozenimpactcenter	frozenimpactcenter										1	7		h2h		mele										A2	A2	xx				1		1	1								1														1															1	1					0	8	0	0	1											1	bolts created	ln34*(100+stat('skillmod_barbarian_3'.accr))/100	stun length			50	% damage dealt as elemental									75	stun length base	5	stun length per level																	1				8		112		8	128														cold	4	2	2	2	2	2	8	4	4	4	4	4	((stat('energy'.accr)*(100+stat('skillmod_sorceress_1'.accr)))/100)	25	5	5	5	stat('item_coldspell_duration'.accr)	4			0	0
New Leap	641	monster				monster skill 641	40	77													leapknockback									dm12																																																		1		barbarian_leap_1													29	43					giantslamwall													1	0		none												SQ	A1	xx	13		1		4																								1															1	1					0	8	0	0	1											ln34	knockback radius	par7	leap speed %									4	range min	30	range max	4	knockback radius base	0	knockback radius per level					400	leap speed %											1								8																																					0	0
Death Pit Strike	642	monster				monster skill 642	6	11													deathpitstrikecenter	deathpitstrikecenter	deathpitstrikecenter																																																											assassin_shadow_kick_1														19						deathpitstrikecenter	deathpitstrikecenter	deathpitstrikecenter										1	7		h2h		mele										A1	A1	xx				1		1	1								1														1															1	1					0	8	0	0	1											1	bolts created					0	% damage dealt as elemental																													1						96		8	32														stun														25	5	5	5	stat('skillmod_barbarian_3'.accr)	4			0	0
Shock Snare	643	monster				monster skill 643	6	11													shocksnarewave	shocksnarewave	shocksnarewave																																																											assassin_kick_1														19						shocksnarewave	shocksnarewave	shocksnarewave										1	7		h2h		mele										A1	A1	xx				1		1	1								1														1															1	1					0	8	0	0	1											12	bombs created	ln78*(100+stat('skillmod_barbarian_3'.accr))/100	stun duration			0	% damage dealt as elemental					12	bombs base	1	bombs per level	5	blast radius							50	stun length	5	stun length per level									1								8															ltng	1						12	3	3	3	3	3	((stat('energy'.accr)*(100+stat('skillmod_sorceress_1'.accr)))/100)						4			0	0
Blade of Contrition	644	monster				monster skill 644	6	11													zakarumhealingpulsewave	zakarumhealingpulsewave	zakarumhealingpulsewave																																																																					cast_undead				19						zakarumhealingpulsewave	zakarumhealingpulsewave	zakarumhealingpulsewave										1	7		h2h		mele										A2	A2	xx				1		1	1								1														1															1	1					0	8	0	0	1											1	bolts created/heal min	ln34*(100+stat('item_healingskill_percent'.accr))/100	heal max			0	% damage dealt as elemental									16	heal max base	12	heal max per level																	1								8															mag	12	4	4	4	4	4	24	8	8	8	8	8	((stat('energy'.accr)*(100+stat('skillmod_sorceress_1'.accr)))/100)						4			0	0
Witness Me	645	monster				monster skill 645	39	2																			monfrenzy		ln34		damagepercent	par5	attackrate	par6	velocitypercent	par6	item_tohit_percent	par7	normal_damage_reduction	par8	magic_damage_reduction	par8																																							paladin_sacrifice	barbarian_grunt_large_1	1									cast_undead																						1	4		h2h		mele										A1	A1	xx				1		1	1								1														1															1	1					0	8	0	0	1											0	damage %	ln34	duration	100	attack speed %	0	% damage dealt as elemental									100	duration base	5	duration per level	100	damage %	150	attack and movement speed %			10	Damage synergy									1								8	128														stun														50	5	5	5	stat('skillmod_barbarian_3'.accr)				0	0
Sacrifical Strike	646	monster				monster skill 646	32	2																				bloodbag	ln34		velocitypercent	par5																																																	paladin_sacrifice	barbarian_grunt_large_1	1									death_sentry																						1	0		h2h		mele										A1	A1	xx				1		1	1								1					1									1															1	1					0	8	0	0	1											ln12	damage %	0	flat damage	50	attack speed %	0	% damage dealt as elemental					100	damage % base	10	damage % per level	100	duration base	5	duration per level	-50	velocity %															1	100	5				96		8	128														stun														50	5	5	5	stat('skillmod_barbarian_3'.accr)				0	0
Bulldoze	647	monster				monster skill 647	38	76	1																		breakthrough		10		velocitypercent	par7	attackrate	dm78																																														1		weapon_giant_1			weapon_2ht_1										31	45	1																	1	7		none		mele										SQ	A1	xx	10		1			1									1														1															1	1					0	8	0	0												ln12	damage %											-50	damage % base	10	damage % per level									400	speed modifier %											1								8	128														stun														25	5	5	5	stat('skillmod_barbarian_3'.accr)				0	0
Enrage	648	monster				monster skill 648		18																			red		ln56		damagepercent	ln12	attackrate	par3	velocitypercent	par4																																													druid_firecast_a																																	1	0		none												SC	SC	SC				1																									1															0	1					0	8	0	0	1	1																						50	damage % base	10	damage % per level	50	attack speed %	50	velocity %	125	duration base	25	duration per level													1								8																																		1			0	0
Lamb to the Slaughter	649	monster				monster skill 649		28													deathpitstrikecenter	deathpitstrikecenter	deathpitstrikecenter																																																										diablo_boneprison_rise											dust				28						deathpitstrikecenter												1	7		none												SC	SC	xx					4				1											1									1															1	1					0	8	0	0	1													ln78*(100+stat('skillmod_barbarian_3'.accr))/100	stun duration																					100	stun length	5	stun length per level									1						208		8	32														stun																						0	0
Iceberg Strike	650	monster				monster skill 650	6	2																																																																										assassin_kick_1																																1	7		h2h		mele										A1	A1	xx				1		1	1								1														1															1	1					0	8	0	0	1											ln12	damage %	100	state duration			0	% damage dealt as elemental					0	damage % base	0	damage % per level																					1								8	128														frze														125	25	25	25	stat('item_coldspell_duration'.accr)	4			0	0
Yeti Smash	651	monster				monster skill 651	31	67																																																																								1	druid_windcast											arctic_blast_cast			25	37																		1	5		none		mele										SQ	A1	xx	4		1				1								1														1															1	1					0	8	0	0	1											ln34	damage %	par1	velocity %			0	% damage dealt as elemental					70	velocity %			100	damage %	0	damage % per level																	1						48		8	128														cold	1						1							125	10	10	10	stat('skillmod_barbarian_3'.accr)	13			0	0
Creeping Cold	652	monster				monster skill 652		118													glacialfissure																																																												sorceress_cast_cold											ice_cast_1				69						glacialfissure												1	5		none												SC	SC	xx																				1						sorceress_cast_cold			1															1	1					0	8	0	0	1											12	missiles																																			1								6															cold	12	3	3	3	3	3	16	4	4	4	4	4	((stat('energy'.accr)*(100+stat('skillmod_sorceress_1'.accr)))/100)	75	10	10	10	stat('item_coldspell_duration'.accr)	5			0	0
Shatter Nova	653	monster				monster skill 653												shatternovacenter																																																															sorceress_cast_cold											ice_cast_1									shatternovacenter													1	6		none												SC	SC	xx																				1						sorceress_cast_cold			1															1	1					0	8	0	0	1																																															1								7															cold	48	12	12	12	12	12	60	15	15	15	15	15	((stat('energy'.accr)*(100+stat('skillmod_sorceress_1'.accr)))/100)	125	10	10	10	stat('item_coldspell_duration'.accr)				0	0
Vulture Egg 1	654	monster				monster skill 654												spawnegg1																																																																																			spawnegg1													1	6		none												SC	SC	xx																				1									1															1	1					0	8	0	0	1																																															1								8																																					0	0
Vulture Egg 2	655	monster				monster skill 655												spawnegg2																																																																																			spawnegg2													1	6		none												SC	SC	xx																				1									1															1	1					0	8	0	0	1																																															1								8																																					0	0
Vulture Egg 3	656	monster				monster skill 656												spawnegg3																																																																																			spawnegg3													1	6		none												SC	SC	xx																				1									1															1	1					0	8	0	0	1																																															1								8																																					0	0
Vulture Egg 4	657	monster				monster skill 657												spawnegg4																																																																																			spawnegg4													1	6		none												SC	SC	xx																				1									1															1	1					0	8	0	0	1																																															1								8																																					0	0
Ensnare	658	monster				monster skill 658		30																		3		golem_mastery	ln34		velocitypercent	par6	staminarecoverybonus	-75																																																																																1	9		none												SC	SC	S2					4															1									1															0	1					0	8	0	0	1																											125	duration base	15	duration per level			-75	slow %													1								8																																					0	0
Vanish	659	monster				monster skill 659		27																																																																																																								1		1	0		none												SC	SC	xx																				1		1	2			sorceress_teleport	teleport		1															0	1					0	8	0	0	1																																															1								8																																					0	0
Invisibility	660	monster				monster skill 660		18																			invis		ln56		velocitypercent	ln12	damageresist	50	fireresist	50	lightresist	50	coldresist	50	poisonresist	50																																																																								1	0		none												SC	SC	SC				1																1									1															0	1					0	8	0	0	1	1																						25	velocity % base	0	velocity % per level					125	duration base	10	duration per level													1								8																																		1			0	0
Vile Hunger	661	monster				monster skill 661		137																			fenris_rage		ln56		damagepercent	ln12																																																					necromancer_corpseexp_1										51	79						corpseexplosion												1	0		none												A1	A1	A1											1									1									1															0	1					0	8	0	0	1																							100	damage % base	10	damage % per level					150	duration base	10	duration per level													1								8																																					0	0
Leap Stomp	662	monster				monster skill 662	40	77													leapknockback									dm12																																																		1		barbarian_leap_1													29	43																		1	0		none												SQ	A1	xx	13		1		4																								1															1	1					0	8	0	0	1											ln34	knockback radius	par7	leap speed %									20	range min	30	range max	8	knockback radius base	0	knockback radius per level					-50	velocity %											1								8																																					0	0
Shred	663	monster				monster skill 663	67	9																			ferocity		par8		attackrate	dm56	velocitypercent	dm56	progressive_ferocity	lvl																																																												39																		1	7		h2h	3	mele					mele					SQ	A1	xx	11			1		1	1								1														1															1	1					0	8	0	0	1											(((110 * stat('progressive_ferocity'.accr)) * (par2 - par1)) / (100 * (stat('progressive_ferocity'.accr) + 6)) + par1)-par7	damage %					0	% damage dealt as elemental					-2	damage % min stacks	48	damage % max stacks	0	attack rating % min stacks	100	attack rating % max stacks	20	attack speed % min stacks	220	attack speed % max stacks	0	damage % base	50	duration									1			(((110 * stat('progressive_ferocity'.accr)) * (par4 - par3)) / (100 * (stat('progressive_ferocity'.accr) + 6)) + par3)	1				8	128																																	4			0	0
Giant Slam	664	monster				monster skill 664		17													giantslamwave	giantslamwave	giantslamwave																																																																									23					shakebig	giantslamwave	giantslamwave	giantslamwave										1	9		none												A2	A2	xx																				1									1															1	1					0	8	0	0	1											12	bolts created	ln34*(100+stat('skillmod_barbarian_3'.accr))/100	stun length													75	stun length base	5	stun length per level																	1				8		112		8	64																																	4			0	0
Frost Giant Slam	665	monster				monster skill 665		17													frostgiantslamwave	frostgiantslamwave	frostgiantslamwave																																																																									23					shakebig	frostgiantslamwave	frostgiantslamwave	frostgiantslamwave										1	9		none												A2	A2	xx																				1									1															1	1					0	8	0	0	1											12	bolts created	ln34*(100+stat('skillmod_barbarian_3'.accr))/100	stun length													75	stun length base	5	stun length per level																	1				8		112		8	64														cold	2	2	2	2	2	2	4	4	4	4	4	4	((stat('energy'.accr)*(100+stat('skillmod_sorceress_1'.accr)))/100)	75	5	5	5	stat('item_coldspell_duration'.accr)	4			0	0
Global Nova	666	monster				monster skill 666		22													globalnova	globalnova	globalnova																																																																									25						globalnova				0	velocity adder							1	7		none												SC	A1	A1																				36	10								1															0	1					0	8	0	0	1											0	velocity adder																																			1								8	128																																				0	0
Yoink	667	monster				monster skill 667		27																																																																																													shakebig											1		1	0		none												SC	SC	xx																				1		1	4			druid_firecast_b	druid_fire_cast_1		1															0	1					0	8	0	0	1																																															1								8																																					0	0
Bone Shard	668	monster				monster skill 668												fetishdeaththrow		1										par1																																																							weapon_throw_1																fetishdeaththrow													1	0		rng												SC	SC	xx																				1									1															1	1					0	8	0	0	1																																															1								8															fire	4	4	4	4	4	4	8	8	8	8	8	8	((stat('energy'.accr)*(100+stat('skillmod_sorceress_1'.accr)))/100)						5			0	0
Bone Fetish Spawn 1	669	monster				monster skill 669												fetishspawnthrow1		1										par1																																																							weapon_throw_1																fetishspawnthrow1													1	0		rng												SC	SC	xx																				1		1	2						1															1	1					0	8	0	0	1																																															1								8																																		5			0	0
Bone Fetish Spawn 2	670	monster				monster skill 670												fetishspawnthrow2		1										par1																																																							weapon_throw_1																fetishspawnthrow2													1	0		rng												SC	SC	xx																				1		1	2						1															1	1					0	8	0	0	1																																															1								8																																		5			0	0
Bone Fetish Spawn 3	671	monster				monster skill 671												fetishspawnthrow3		1										par1																																																							weapon_throw_1																fetishspawnthrow3													1	0		rng												SC	SC	xx																				1		1	2						1															1	1					0	8	0	0	1																																															1								8																																		5			0	0
Bone Fetish Spawn 4	672	monster				monster skill 672												fetishspawnthrow4		1										par1																																																							weapon_throw_1																fetishspawnthrow4													1	0		rng												SC	SC	xx																				1		1	2						1															1	1					0	8	0	0	1																																															1								8																																		5			0	0
Bone Fetish Spawn 5	673	monster				monster skill 673												fetishspawnthrow5		1										par1																																																							weapon_throw_1																fetishspawnthrow5													1	0		rng												SC	SC	xx																				1		1	2						1															1	1					0	8	0	0	1																																															1								8																																		5			0	0
Sorcerous Fire	674	monster				monster skill 674		80													sorcerousfirecenter																																																												sorceress_cast_fire											druid_fire_cast_2				36						sorcerousfirecenter	sorcerousfirecenter											1	7		none												SQ	SC	xx	12				4	1		1												1			4			sorceress_cast_fire			1															1	1					0	8	0	0	1																																															1								2															fire	8	2	2	2	2	2	12	3	3	3	3	3	((stat('energy'.accr)*(100+stat('skillmod_sorceress_1'.accr)))/100)						5			0	0
Sacred Charge	675	monster				monster skill 675	38	76	1																		breakthrough		10		velocitypercent	par7	attackrate	par7																																														1		weapon_giant_1			weapon_2ht_1										31	45	1																	1	7		none		mele										SQ	A1	xx	10		1			1									1														1															1	1					0	8	0	0												ln12	damage %											-70	damage % base	10	damage % per level									350	speed modifier %											1								8	64														cold	8	2	2	2	2	2	16	3	3	3	3	3	((stat('energy'.accr)*(100+stat('skillmod_sorceress_1'.accr)))/100)	25	5	5	5	stat('item_coldspell_duration'.accr)				0	0
Fire Prison	676	monster				monster skill 676		28													fireprisoncenter	fireprisoncenter	fireprisoncenter																																																										druid_firecast_a											fire_cast_1				28						fireprisoncenter												1	7		none												SC	SC	xx					4				1											1						sorceress_cast_fire			1															1	1					0	8	0	0	1											1	radius	4	spawn rate																																	1								2															fire	8	2	2	2	2	2	12	3	3	3	3	3	((stat('energy'.accr)*(100+stat('skillmod_sorceress_1'.accr)))/100)									0	0
Hell Shaman Fire	677	monster				monster skill 677												shamanfireball																																																															sorceress_cast_fire																				shamanfireball													1	2		none												SC	SC	xx																				1						sorceress_cast_fire			1															1	1					0	8	0	0	1																																															1								8															fire	4	1	1	1	1	1	8	2	2	2	2	2	((stat('energy'.accr)*(100+stat('skillmod_sorceress_1'.accr)))/100)									0	0
Firebolt Scatter	678	monster				monster skill 678	46	88													shamanfireball																																																												sorceress_cast_fire														34	48						shamanfireball												1	0		none												SQ	SQ	xx																													1															0	1					0	8	0	0	1																																															1								8															fire	8	2	2	2	2	2	12	3	3	3	3	3	((stat('energy'.accr)*(100+stat('skillmod_sorceress_1'.accr)))/100)									0	0
Shaman Blood Mana	679	monster				monster skill 679		30																		3		blood_mana	ln34	ln12																																																																	18	30						curseeffectred		cursecast										1	0		none												SC	SC	S2																													1															0	0					0	8	0	0	1																							5	radius base	1	radius per level	100	duration base	10	duration per level	40	health % limit															1								8		10	4	4	4	4	4	20	4	4	4	4	4																								0	0
Doom Charge	680	monster				monster skill 680	38	76	1																		breakthrough		10		velocitypercent	par7	attackrate	par7																																														1		weapon_giant_1			weapon_2ht_1										31	45	1																	1	7		none		mele										SQ	A1	xx	10		1			1									1														1															1	1					0	8	0	0												ln12	damage %											-70	damage % base	10	damage % per level									350	speed modifier %											1								8	128														stam	50						100															0	0
Doom Knight Missile Alt	681	monster				monster skill 681		149													undeadmissile1																																																																											95						undeadmissile1												1	0		none												SC	SC	A1																													1															0	1					0	8	0	0	1																																															1								8																																					0	0
Denting Blow	682	monster				monster skill 682		30																		3		innersight	ln34		item_armor_percent	(-1)*dm12																																																																																		1	9		none												SC	SC	S2					4															1									1															0	1					0	8	0	0	1																							20	armor penalty % min	90	armor penalty % max	125	duration base	15	duration per level			-75	slow %													1								8																																					0	0
Necromending	683	monster				monster skill 683		18																			bandageheal		par8		hpregen	edmn*256/25	velocitypercent	ln56																																															druid_firecast_a		1																															1	9		none												SC	SC	SC				1																									1															0	1					0	8	0	0	1	1																														150	speed modifier %	10	speed modifier % per level			50	duration									1								8																50	50	50	50	50	50							stat('item_healingskill_percent'.accr)+stat('skillmod_druid_1'.accr)						8			0	0
Ball Lightning	684	monster				monster skill 684												bigheadballlightning																																																															sorceress_cast_lightning											light_cast_1									bigheadballlightning													1	9		none												SC	SC	SC				1																									1															0	1					0	8	0	0	1	1																																														1								8															ltng	1						8	2	2	2	2	2	((stat('energy'.accr)*(100+stat('skillmod_sorceress_1'.accr)))/100)						5			0	0
Darkness	685	monster				monster skill 685		30																		3		cloaked	ln34	2	item_lightradius	(-1)*ln12	item_tohit_percent	-100	item_lightcolor	1																																																																														1	9		none												SC	SC	S2					4															1									1															0	1					0	8	0	0	1																							4	dim vision base	0	dim vision per level	75	duration base	15	duration per level																	1								8																																					0	0
Chaos Sigil	686	monster				monster skill 686		28													fingermagedelay	fingermagedelay	fingermagedelay																																																										fingermage_bolt_cast_1															28						fingermagedelay	fingermagedelay											1	0		none												SQ	SQ	S1																													1															0	1					0	8	0	0	1																																															1								8															mag	24	6	6	6	6	6	48	12	12	12	12	12	((stat('energy'.accr)*(100+stat('skillmod_sorceress_1'.accr)))/100)									0	0
Chaos Brand	687	monster				monster skill 687		30																		3		fingermagecurse	ln34		manarecoverybonus	(-1)*par7																																																	fingermage_bolt_cast_1																																	1	9		none												SC	SC	S2					4															1						fingermage_bolt_cast_1			1															0	1					0	8	0	0	1																											100	duration base	15	duration per level					500	mana recovery rate penalty %											1								8																																					0	0
Chaos Heal	688	monster				monster skill 688		25																	receiving		bandageheal		par8		hpregen	edmn*256/25	velocitypercent	par1	damagepercent	par2	attackrate	par1																																																		receiving				healing																						1	0		none												SQ	SQ	S1												1	1																1															0	1					0	8	0	0	1																							50	velocity %	100	damage %											100	duration									1								8																100	20	20	20	20	20							stat('item_healingskill_percent'.accr)+stat('skillmod_druid_1'.accr)									0	0
Fire Sweep	689	monster				monster skill 689	46	88													highpriestfirebolt																																																												sorceress_cast_fire											fire_cast_1			34	48						highpriestfirebolt												1	0		none												SQ	SQ	xx																													1															0	1					0	8	0	0	1																																															1								8															fire	12	3	3	3	3	3	24	6	6	6	6	6	((stat('energy'.accr)*(100+stat('skillmod_sorceress_1'.accr)))/100)									0	0
Ice Sweep	690	monster				monster skill 690	46	88													highpriesticebolt																																																												sorceress_cast_cold											ice_cast_1			34	48						highpriesticebolt												1	0		none												SQ	SQ	xx																													1															0	1					0	8	0	0	1																																															1								8															cold	8	2	2	2	2	2	16	4	4	4	4	4	((stat('energy'.accr)*(100+stat('skillmod_sorceress_1'.accr)))/100)	25	5	5	5	stat('item_coldspell_duration'.accr)				0	0
Lightning Sweep	691	monster				monster skill 691	46	88													highpriestlightningbolt																																																												sorceress_cast_lightning											light_cast_1			34	48						highpriestlightningbolt												1	0		none												SQ	SQ	xx																													1															0	1					0	8	0	0	1																																															1								8															ltng	1						48	12	12	12	12	12	((stat('energy'.accr)*(100+stat('skillmod_sorceress_1'.accr)))/100)									0	0
Martyrdom Fire	692	monster				monster skill 692												martyrfirecenter												par1																																																																							martyrfirecenter													1	7		none												S2	S2	S2				1																1									1															0	1					0	8	0	0	1																	1	spawn frequency					5	blast radius																							1								8																																					0	0
Martyrdom Poison	693	monster				monster skill 693												martyrpoisoncenter												par1																																																																							martyrpoisoncenter													1	7		none												S2	S2	S2				1																1									1															0	1					0	8	0	0	1																	1	spawn frequency					5	blast radius																							1								8																																					0	0
Khamsin	694	monster				monster skill 694		22													unravelerwind	unravelerwind	unravelerwind																																																										druid_windcast															25						unravelerwind												1	5		none												A1	A1	A1																				1									1															1	1					0	8	0	0	1															3	# missiles that can trigger modifiers											1	activation frame																			1								6		8	2	2	2	2	2	12	3	3	3	3	3	((stat('energy'.accr)*(100+stat('skillmod_sorceress_1'.accr)))/100)																				5			0	0
Unraveler Twister	695	monster				monster skill 695		118													unravelertwister																																																												druid_windcast															68						unravelertwister												1	0		none												SC	SC	xx				1																1									1															1	1					0	8	0	0	1											1	bolts created																																			1								6															mag	12	3	3	3	3	3	16	4	4	4	4	4	((stat('energy'.accr)*(100+stat('skillmod_sorceress_1'.accr)))/100)						5			0	0
