Treasure Class	*Laz/Info	*Laz/ItemChanceTotal	*Laz/ItemChance	*Laz/Unq	*Laz/Set	*Laz/Rar	*Laz/Mag	group	level	Picks	Unique	Set	Rare	Magic	NoDrop	Item1	Prob1	Item2	Prob2	Item3	Prob3	Item4	Prob4	Item5	Prob5	Item6	Prob6	Item7	Prob7	Item8	Prob8	Item9	Prob9	Item10	Prob10	*ItemProbSum	*ItemProbTotal	*TreasureClassDropChance	*eol
Act 5 Chest C	Chests	119,35%	29,84%	1,04%	2,60%	5,33%	42,86%	6	36	4	433	433	640	800	36	gld,mul=1280	15	Act 5 Equip B	37	Act 5 Good	3	Good Consumable	5	Act 5 Junk	22	Act 5 Crafting	6												0
Act 1 (N) Chest A	Chests	120,82%	30,20%	1,04%	2,60%	5,33%	42,86%	6	38	4	433	433	640	800	35	gld,mul=1536	15	Act 1 (N) Equip A	37	Act 1 (N) Good	3	Good Consumable	5	Act 1 (N) Junk	22	Act 1 (N) Crafting	6												0
Act 1 (N) Chest B	Chests	122,31%	30,58%	1,04%	2,60%	5,33%	42,86%	6	40	4	433	433	640	800	34	gld,mul=1536	15	Act 1 (N) Equip B	37	Act 1 (N) Good	3	Good Consumable	5	Act 1 (N) Junk	21	Act 1 (N) Crafting	6												0
Act 1 (N) Chest C	Chests	123,85%	30,96%	1,04%	2,60%	5,33%	42,86%	6	42	4	433	433	640	800	33	gld,mul=1536	15	Act 1 (N) Equip B	37	Act 1 (N) Good	3	Good Consumable	5	Act 1 (N) Junk	21	Act 1 (N) Crafting	6												0
Act 2 (N) Chest A	Chests	125,42%	31,36%	1,04%	2,60%	5,33%	42,86%	6	44	4	433	433	640	800	32	gld,mul=1536	15	Act 2 (N) Equip A	37	Act 2 (N) Good	3	Good Consumable	5	Act 2 (N) Junk	20	Act 2 (N) Crafting	6												0
Act 2 (N) Chest B	Chests	127,04%	31,76%	1,04%	2,60%	5,33%	42,86%	6	46	4	433	433	640	800	31	gld,mul=1536	15	Act 2 (N) Equip B	37	Act 2 (N) Good	3	Good Consumable	5	Act 2 (N) Junk	20	Act 2 (N) Crafting	6												0
Act 2 (N) Chest C	Chests	128,70%	32,17%	1,04%	2,60%	5,33%	42,86%	6	48	4	433	433	640	800	30	gld,mul=1536	15	Act 2 (N) Equip B	37	Act 2 (N) Good	3	Good Consumable	5	Act 2 (N) Junk	19	Act 2 (N) Crafting	6												0
Act 3 (N) Chest A	Chests	130,40%	32,60%	1,04%	2,60%	5,33%	42,86%	6	50	4	433	433	640	800	29	gld,mul=1536	15	Act 3 (N) Equip A	37	Act 3 (N) Good	3	Good Consumable	5	Act 3 (N) Junk	19	Act 3 (N) Crafting	6												0
Act 3 (N) Chest B	Chests	132,14%	33,04%	1,04%	2,60%	5,33%	42,86%	6	52	4	433	433	640	800	28	gld,mul=1536	15	Act 3 (N) Equip B	37	Act 3 (N) Good	3	Good Consumable	5	Act 3 (N) Junk	18	Act 3 (N) Crafting	6												0
Act 3 (N) Chest C	Chests	133,94%	33,48%	1,04%	2,60%	5,33%	42,86%	6	54	4	433	433	640	800	27	gld,mul=1536	15	Act 3 (N) Equip B	37	Act 3 (N) Good	3	Good Consumable	5	Act 3 (N) Junk	18	Act 3 (N) Crafting	6												0
Act 4 (N) Chest A	Chests	135,78%	33,94%	1,04%	2,60%	5,33%	42,86%	6	56	4	433	433	640	800	26	gld,mul=1536	15	Act 4 (N) Equip A	37	Act 4 (N) Good	3	Good Consumable	5	Act 4 (N) Junk	17	Act 4 (N) Crafting	6												0
Act 4 (N) Chest B	Chests	137,67%	34,42%	1,04%	2,60%	5,33%	42,86%	6	58	4	433	433	640	800	25	gld,mul=1536	15	Act 4 (N) Equip B	37	Act 4 (N) Good	3	Good Consumable	5	Act 4 (N) Junk	17	Act 4 (N) Crafting	6												0
Act 4 (N) Chest C	Chests	139,62%	34,91%	1,04%	2,60%	5,33%	42,86%	6	60	4	433	433	640	800	24	gld,mul=1536	15	Act 4 (N) Equip C	37	Act 4 (N) Good	3	Good Consumable	5	Act 4 (N) Junk	16	Act 4 (N) Crafting	6												0
Act 5 (N) Chest A	Chests	141,63%	35,41%	1,04%	2,60%	5,33%	42,86%	6	62	4	433	433	640	800	23	gld,mul=1536	15	Act 5 (N) Equip A	37	Act 5 (N) Good	3	Good Consumable	5	Act 5 (N) Junk	16	Act 5 (N) Crafting	6												0
Act 5 (N) Chest B	Chests	143,69%	35,92%	1,04%	2,60%	5,33%	42,86%	6	64	4	433	433	640	800	22	gld,mul=1536	15	Act 5 (N) Equip B	37	Act 5 (N) Good	3	Good Consumable	5	Act 5 (N) Junk	15	Act 5 (N) Crafting	6												0
Act 5 (N) Chest C	Chests	145,81%	36,45%	1,04%	2,60%	5,33%	42,86%	6	66	4	433	433	640	800	21	gld,mul=1536	15	Act 5 (N) Equip B	37	Act 5 (N) Good	3	Good Consumable	5	Act 5 (N) Junk	15	Act 5 (N) Crafting	6												0
Act 1 (H) Chest A	Chests	148,00%	37,00%	1,04%	2,60%	5,33%	42,86%	6	68	4	433	433	640	800	20	gld,mul=2048	15	Act 1 (H) Equip A	37	Act 1 (H) Good	3	Good Consumable	5	Act 1 (H) Junk	14	Act 1 (H) Crafting	6												0
Act 1 (H) Chest B	Chests	150,25%	37,56%	1,04%	2,60%	5,33%	42,86%	6	70	4	433	433	640	800	19	gld,mul=2048	15	Act 1 (H) Equip B	37	Act 1 (H) Good	3	Good Consumable	5	Act 1 (H) Junk	14	Act 1 (H) Crafting	6												0
Act 1 (H) Chest C	Chests	152,58%	38,14%	1,04%	2,60%	5,33%	42,86%	6	71	4	433	433	640	800	18	gld,mul=2048	15	Act 1 (H) Equip B	37	Act 1 (H) Good	3	Good Consumable	5	Act 1 (H) Junk	13	Act 1 (H) Crafting	6												0
Act 2 (H) Chest A	Chests	154,97%	38,74%	1,04%	2,60%	5,33%	42,86%	6	72	4	433	433	640	800	17	gld,mul=2048	15	Act 2 (H) Equip A	37	Act 2 (H) Good	3	Good Consumable	5	Act 2 (H) Junk	13	Act 2 (H) Crafting	6												0
Act 2 (H) Chest B	Chests	157,45%	39,36%	1,04%	2,60%	5,33%	42,86%	6	74	4	433	433	640	800	16	gld,mul=2048	15	Act 2 (H) Equip B	37	Act 2 (H) Good	3	Good Consumable	5	Act 2 (H) Junk	12	Act 2 (H) Crafting	6												0
Act 2 (H) Chest C	Chests	160,00%	40,00%	1,04%	2,60%	5,33%	42,86%	6	75	4	433	433	640	800	15	gld,mul=2048	15	Act 2 (H) Equip B	37	Act 2 (H) Good	3	Good Consumable	5	Act 2 (H) Junk	12	Act 2 (H) Crafting	6												0
Act 3 (H) Chest A	Chests	162,64%	40,66%	1,04%	2,60%	5,33%	42,86%	6	76	4	433	433	640	800	14	gld,mul=2048	15	Act 3 (H) Equip A	37	Act 3 (H) Good	3	Good Consumable	5	Act 3 (H) Junk	11	Act 3 (H) Crafting	6												0
Act 3 (H) Chest B	Chests	165,36%	41,34%	1,04%	2,60%	5,33%	42,86%	6	78	4	433	433	640	800	13	gld,mul=2048	15	Act 3 (H) Equip B	37	Act 3 (H) Good	3	Good Consumable	5	Act 3 (H) Junk	11	Act 3 (H) Crafting	6												0
Act 3 (H) Chest C	Chests	168,18%	42,05%	1,04%	2,60%	5,33%	42,86%	6	79	4	433	433	640	800	12	gld,mul=2048	15	Act 3 (H) Equip B	37	Act 3 (H) Good	3	Good Consumable	5	Act 3 (H) Junk	10	Act 3 (H) Crafting	6												0
Act 4 (H) Chest A	Chests	171,10%	42,77%	1,04%	2,60%	5,33%	42,86%	6	80	4	433	433	640	800	11	gld,mul=2048	15	Act 4 (H) Equip A	37	Act 4 (H) Good	3	Good Consumable	5	Act 4 (H) Junk	10	Act 4 (H) Crafting	6												0
Act 4 (H) Chest B	Chests	174,12%	43,53%	1,04%	2,60%	5,33%	42,86%	6	81	4	433	433	640	800	10	gld,mul=2048	15	Act 4 (H) Equip B	37	Act 4 (H) Good	3	Good Consumable	5	Act 4 (H) Junk	9	Act 4 (H) Crafting	6												0
Act 4 (H) Chest C	Chests	178,31%	44,58%	1,04%	2,60%	5,33%	42,86%	6	82	4	433	433	640	800	9	gld,mul=2048	15	Act 4 (H) Equip B	37	Act 4 (H) Good	3	Good Consumable	5	Act 4 (H) Junk	8	Act 4 (H) Crafting	6												0
Act 5 (H) Chest A	Chests	182,72%	45,68%	1,04%	2,60%	5,33%	42,86%	6	83	4	433	433	640	800	8	gld,mul=2048	15	Act 5 (H) Equip A	37	Act 5 (H) Good	3	Good Consumable	5	Act 5 (H) Junk	7	Act 5 (H) Crafting	6												0
Act 5 (H) Chest B	Chests	187,34%	46,84%	1,04%	2,60%	5,33%	42,86%	6	84	4	433	433	640	800	7	gld,mul=2048	15	Act 5 (H) Equip B	37	Act 5 (H) Good	3	Good Consumable	5	Act 5 (H) Junk	6	Act 5 (H) Crafting	6												0
Act 5 (H) Chest C	Chests	192,21%	48,05%	1,04%	2,60%	5,33%	42,86%	6	85	4	433	433	640	800	6	gld,mul=2048	15	Act 5 (H) Equip B	37	Act 5 (H) Good	3	Good Consumable	5	Act 5 (H) Junk	5	Act 5 (H) Crafting	6												0
Act 1 H2H A	Monster classes	1,25%	10,00%	0,60%	1,50%	2,00%	9,38%	7	0	1					100	gld	21	Act 1 Equip A	16	Act 1 Junk	15	Act 1 Good	2	Act 1 Melee A	4	Act 1 Healing A	2												0
Act 1 H2H B	Monster classes	1,25%	10,00%	0,60%	1,50%	2,00%	9,38%	7	5	1					100	gld	21	Act 1 Equip B	16	Act 1 Junk	15	Act 1 Good	2	Act 1 Melee B	4	Act 1 Healing B	2												0
Act 1 H2H C	Monster classes	1,25%	10,00%	0,60%	1,50%	2,00%	9,38%	7	9	1					100	gld	21	Act 1 Equip C	16	Act 1 Junk	15	Act 1 Good	2	Act 1 Melee C	4	Act 1 Healing C	2												0
Act 2 H2H A	Monster classes	1,25%	10,00%	0,60%	1,50%	2,00%	9,38%	7	12	1					100	gld	21	Act 2 Equip A	16	Act 2 Junk	15	Act 2 Good	2	Act 2 Melee A	4	Act 2 Healing A	2												0
Act 2 H2H B	Monster classes	1,25%	10,00%	0,60%	1,50%	2,00%	9,38%	7	15	1					100	gld	21	Act 2 Equip B	16	Act 2 Junk	15	Act 2 Good	2	Act 2 Melee B	4	Act 2 Healing B	2												0
Act 2 H2H C	Monster classes	1,25%	10,00%	0,60%	1,50%	2,00%	9,38%	7	18	1					100	gld	21	Act 2 Equip C	16	Act 2 Junk	13	Act 3 Good	2	Act 2 Melee C	4	Act 3 Crafting	2	Act 2 Healing C	2										0
Act 3 H2H A	Monster classes	1,25%	10,00%	0,60%	1,50%	2,00%	9,38%	7	20	1					100	gld	21	Act 3 Equip A	16	Act 3 Junk	11	Act 3 Good	2	Act 3 Melee A	4	Act 3 Crafting	4	Act 3 Healing A	2										0
Act 3 H2H B	Monster classes	1,25%	10,00%	0,60%	1,50%	2,00%	9,38%	7	22	1					100	gld	21	Act 3 Equip B	16	Act 3 Junk	11	Act 3 Good	2	Act 3 Melee B	4	Act 3 Crafting	4	Act 3 Healing B	2										0
Act 3 H2H C	Monster classes	1,25%	10,00%	0,60%	1,50%	2,00%	9,38%	7	24	1					100	gld	21	Act 3 Equip C	16	Act 3 Junk	11	Act 3 Good	2	Act 3 Melee C	4	Act 3 Crafting	4	Act 3 Healing C	2										0
Act 4 H2H A	Monster classes	1,25%	10,00%	0,60%	1,50%	2,00%	9,38%	7	26	1					100	gld	21	Act 4 Equip A	16	Act 4 Junk	11	Act 4 Good	2	Act 4 Melee A	4	Act 4 Crafting	4	Act 4 Healing A	2										0
Act 4 H2H B	Monster classes	1,25%	10,00%	0,60%	1,50%	2,00%	9,38%	7	29	1					100	gld	21	Act 4 Equip B	16	Act 4 Junk	11	Act 4 Good	2	Act 4 Melee B	4	Act 4 Crafting	4	Act 4 Healing B	2										0
Act 5 H2H A	Monster classes	1,25%	10,00%	0,60%	1,50%	2,00%	9,38%	7	32	1					100	gld	21	Act 5 Equip A	16	Act 5 Junk	11	Act 5 Good	2	Act 5 Melee A	4	Act 5 Crafting	4	Act 5 Healing A	2										0
Act 5 H2H B	Monster classes	1,25%	10,00%	0,60%	1,50%	2,00%	9,38%	7	34	1					100	gld	21	Act 5 Equip B	16	Act 5 Junk	11	Act 5 Good	2	Act 5 Melee B	4	Act 5 Crafting	4	Act 5 Healing B	2										0
Act 5 H2H C	Monster classes	1,25%	10,00%	0,60%	1,50%	2,00%	9,38%	7	36	1					100	gld	21	Act 5 Equip C	16	Act 5 Junk	11	Act 5 Good	2	Act 5 Melee C	4	Act 5 Crafting	4	Act 5 Healing C	2										0
Act 1 (N) H2H A	Monster classes	1,25%	10,00%	0,60%	1,50%	2,00%	9,38%	7	38	1					100	gld	21	Act 1 (N) Equip A	16	Act 1 (N) Junk	11	Act 1 (N) Good	2	Act 1 (N) Melee A	4	Act 1 (N) Crafting	4	Act 1 (N) Healing A	2										0
Act 1 (N) H2H B	Monster classes	1,25%	10,00%	0,60%	1,50%	2,00%	9,38%	7	40	1					100	gld	21	Act 1 (N) Equip B	16	Act 1 (N) Junk	11	Act 1 (N) Good	2	Act 1 (N) Melee B	4	Act 1 (N) Crafting	4	Act 1 (N) Healing B	2										0
Act 1 (N) H2H C	Monster classes	1,25%	10,00%	0,60%	1,50%	2,00%	9,38%	7	41	1					100	gld	21	Act 1 (N) Equip B	16	Act 1 (N) Junk	11	Act 1 (N) Good	2	Act 1 (N) Melee B	4	Act 1 (N) Crafting	4	Act 1 (N) Healing B	2										0
Act 2 (N) H2H A	Monster classes	1,25%	10,00%	0,60%	1,50%	2,00%	9,38%	7	42	1					100	gld	21	Act 2 (N) Equip A	16	Act 2 (N) Junk	11	Act 2 (N) Good	2	Act 2 (N) Melee A	4	Act 2 (N) Crafting	4	Act 2 (N) Healing A	2										0
Act 2 (N) H2H B	Monster classes	1,25%	10,00%	0,60%	1,50%	2,00%	9,38%	7	44	1					100	gld	21	Act 2 (N) Equip B	16	Act 2 (N) Junk	11	Act 2 (N) Good	2	Act 2 (N) Melee B	4	Act 2 (N) Crafting	4	Act 2 (N) Healing B	2										0
Act 2 (N) H2H C	Monster classes	1,25%	10,00%	0,60%	1,50%	2,00%	9,38%	7	45	1					100	gld	21	Act 2 (N) Equip B	16	Act 2 (N) Junk	11	Act 2 (N) Good	2	Act 2 (N) Melee B	4	Act 2 (N) Crafting	4	Act 2 (N) Healing B	2										0
Act 3 (N) H2H A	Monster classes	1,25%	10,00%	0,60%	1,50%	2,00%	9,38%	7	46	1					100	gld	21	Act 3 (N) Equip A	16	Act 3 (N) Junk	11	Act 3 (N) Good	2	Act 3 (N) Melee A	4	Act 3 (N) Crafting	4	Act 3 (N) Healing A	2										0
Act 3 (N) H2H B	Monster classes	1,25%	10,00%	0,60%	1,50%	2,00%	9,38%	7	48	1					100	gld	21	Act 3 (N) Equip B	16	Act 3 (N) Junk	11	Act 3 (N) Good	2	Act 3 (N) Melee B	4	Act 3 (N) Crafting	4	Act 3 (N) Healing B	2										0
Act 3 (N) H2H C	Monster classes	1,25%	10,00%	0,60%	1,50%	2,00%	9,38%	7	50	1					100	gld	21	Act 3 (N) Equip B	16	Act 3 (N) Junk	11	Act 3 (N) Good	2	Act 3 (N) Melee B	4	Act 3 (N) Crafting	4	Act 3 (N) Healing B	2										0
Act 4 (N) H2H A	Monster classes	1,25%	10,00%	0,60%	1,50%	2,00%	9,38%	7	51	1					100	gld	21	Act 4 (N) Equip A	16	Act 4 (N) Junk	11	Act 4 (N) Good	2	Act 4 (N) Melee A	4	Act 4 (N) Crafting	4	Act 4 (N) Healing A	2										0
Act 4 (N) H2H B	Monster classes	1,25%	10,00%	0,60%	1,50%	2,00%	9,38%	7	54	1					100	gld	21	Act 4 (N) Equip B	16	Act 4 (N) Junk	11	Act 4 (N) Good	2	Act 4 (N) Melee B	4	Act 4 (N) Crafting	4	Act 4 (N) Healing B	2										0
Act 5 (N) H2H A	Monster classes	1,25%	10,00%	0,60%	1,50%	2,00%	9,38%	7	57	1					100	gld	21	Act 5 (N) Equip A	16	Act 5 (N) Junk	11	Act 5 (N) Good	2	Act 5 (N) Melee A	4	Act 5 (N) Crafting	4	Act 5 (N) Healing A	2										0
Act 5 (N) H2H B	Monster classes	1,25%	10,00%	0,60%	1,50%	2,00%	9,38%	7	60	1					100	gld	21	Act 5 (N) Equip B	16	Act 5 (N) Junk	11	Act 5 (N) Good	2	Act 5 (N) Melee B	4	Act 5 (N) Crafting	4	Act 5 (N) Healing B	2										0
Act 5 (N) H2H C	Monster classes	1,25%	10,00%	0,60%	1,50%	2,00%	9,38%	7	62	1					100	gld	21	Act 5 (N) Equip C	16	Act 5 (N) Junk	11	Act 5 (N) Good	2	Act 5 (N) Melee C	4	Act 5 (N) Crafting	4	Act 5 (N) Healing C	2										0
Act 1 (H) H2H A	Monster classes	1,25%	10,00%	0,60%	1,50%	2,00%	9,38%	7	63	1					100	gld	21	Act 1 (H) Equip A	16	Act 1 (H) Junk	11	Act 1 (H) Good	2	Act 1 (H) Melee A	4	Act 1 (H) Crafting	4	Act 1 (H) Healing A	2										0
Act 1 (H) H2H B	Monster classes	1,25%	10,00%	0,60%	1,50%	2,00%	9,38%	7	66	1					100	gld	21	Act 1 (H) Equip B	16	Act 1 (H) Junk	11	Act 1 (H) Good	2	Act 1 (H) Melee B	4	Act 1 (H) Crafting	4	Act 1 (H) Healing B	2										0
Act 1 (H) H2H C	Monster classes	1,25%	10,00%	0,60%	1,50%	2,00%	9,38%	7	68	1					100	gld	21	Act 1 (H) Equip B	16	Act 1 (H) Junk	11	Act 1 (H) Good	2	Act 1 (H) Melee B	4	Act 1 (H) Crafting	4	Act 1 (H) Healing B	2										0
Act 2 (H) H2H A	Monster classes	1,25%	10,00%	0,60%	1,50%	2,00%	9,38%	7	69	1					100	gld	21	Act 2 (H) Equip A	16	Act 1 (H) Junk	11	Act 2 (H) Good	2	Act 2 (H) Melee A	4	Act 2 (H) Crafting	4	Act 2 (H) Healing A	2										0
Act 2 (H) H2H B	Monster classes	1,25%	10,00%	0,60%	1,50%	2,00%	9,38%	7	71	1					100	gld	21	Act 2 (H) Equip B	16	Act 1 (H) Junk	11	Act 2 (H) Good	2	Act 2 (H) Melee B	4	Act 2 (H) Crafting	4	Act 2 (H) Healing B	2										0
Act 2 (H) H2H C	Monster classes	1,25%	10,00%	0,60%	1,50%	2,00%	9,38%	7	73	1					100	gld	21	Act 2 (H) Equip B	16	Act 1 (H) Junk	11	Act 2 (H) Good	2	Act 2 (H) Melee B	4	Act 2 (H) Crafting	4	Act 2 (H) Healing B	2										0
Act 3 (H) H2H A	Monster classes	1,25%	10,00%	0,60%	1,50%	2,00%	9,38%	7	74	1					100	gld	21	Act 3 (H) Equip A	16	Act 1 (H) Junk	11	Act 3 (H) Good	2	Act 3 (H) Melee A	4	Act 3 (H) Crafting	4	Act 3 (H) Healing A	2										0
Act 3 (H) H2H B	Monster classes	1,25%	10,00%	0,60%	1,50%	2,00%	9,38%	7	76	1					100	gld	21	Act 3 (H) Equip B	16	Act 1 (H) Junk	11	Act 3 (H) Good	2	Act 3 (H) Melee B	4	Act 3 (H) Crafting	4	Act 3 (H) Healing B	2										0
Act 3 (H) H2H C	Monster classes	1,25%	10,00%	0,60%	1,50%	2,00%	9,38%	7	77	1					100	gld	21	Act 3 (H) Equip B	16	Act 1 (H) Junk	11	Act 3 (H) Good	2	Act 3 (H) Melee B	4	Act 3 (H) Crafting	4	Act 3 (H) Healing B	2										0
Act 4 (H) H2H A	Monster classes	1,25%	10,00%	0,60%	1,50%	2,00%	9,38%	7	79	1					100	gld	21	Act 4 (H) Equip A	16	Act 1 (H) Junk	11	Act 4 (H) Good	2	Act 4 (H) Melee A	4	Act 4 (H) Crafting	4	Act 4 (H) Healing A	2										0
Act 4 (H) H2H B	Monster classes	1,25%	10,00%	0,60%	1,50%	2,00%	9,38%	7	80	1					100	gld	21	Act 4 (H) Equip B	16	Act 1 (H) Junk	11	Act 4 (H) Good	2	Act 4 (H) Melee B	4	Act 4 (H) Crafting	4	Act 4 (H) Healing B	2										0
Act 5 (H) H2H A	Monster classes	1,25%	10,00%	0,60%	1,50%	2,00%	9,38%	7	82	1					100	gld	21	Act 5 (H) Equip A	16	Act 1 (H) Junk	11	Act 5 (H) Good	2	Act 5 (H) Melee A	4	Act 5 (H) Crafting	4	Act 5 (H) Healing A	2										0
Act 5 (H) H2H B	Monster classes	1,25%	10,00%	0,60%	1,50%	2,00%	9,38%	7	83	1					100	gld	21	Act 5 (H) Equip B	16	Act 1 (H) Junk	11	Act 5 (H) Good	2	Act 5 (H) Melee B	4	Act 5 (H) Crafting	4	Act 5 (H) Healing B	2										0
Act 5 (H) H2H C	Monster classes	1,25%	10,00%	0,60%	1,50%	2,00%	9,38%	7	85	1					100	gld	21	Act 5 (H) Equip C	16	Act 1 (H) Junk	11	Act 5 (H) Good	2	Act 5 (H) Melee C	4	Act 5 (H) Crafting	4	Act 5 (H) Healing C	2										0
Act 1 H2H Big A	Monster classes							7	0	-2					0	Act 1 H2H A	2																						0
Act 1 H2H Big B	Monster classes							7	5	-2					0	Act 1 H2H B	2																						0
Act 1 H2H Big C	Monster classes							7	9	-2					0	Act 1 H2H C	2																						0
Act 2 H2H Big A	Monster classes							7	12	-2					0	Act 2 H2H A	2																						0
Act 2 H2H Big B	Monster classes							7	15	-2					0	Act 2 H2H B	2																						0
Act 2 H2H Big C	Monster classes							7	18	-2					0	Act 2 H2H C	2																						0
Act 3 H2H Big A	Monster classes							7	20	-2					0	Act 3 H2H A	2																						0
Act 3 H2H Big B	Monster classes							7	22	-2					0	Act 3 H2H B	2																						0
Act 3 H2H Big C	Monster classes							7	24	-2					0	Act 3 H2H C	2																						0
Act 4 H2H Big A	Monster classes							7	26	-2					0	Act 4 H2H A	2																						0
Act 4 H2H Big B	Monster classes							7	29	-2					0	Act 4 H2H B	2																						0
Act 5 H2H Big A	Monster classes							7	32	-2					0	Act 5 H2H A	2																						0
Act 5 H2H Big B	Monster classes							7	34	-2					0	Act 5 H2H B	2																						0
Act 5 H2H Big C	Monster classes							7	36	-2					0	Act 5 H2H C	2																						0
Act 1 (N) H2H Big A	Monster classes							7	38	-2					0	Act 1 (N) H2H A	2																						0
Act 1 (N) H2H Big B	Monster classes							7	40	-2					0	Act 1 (N) H2H B	2																						0
Act 1 (N) H2H Big C	Monster classes							7	41	-2					0	Act 1 (N) H2H C	2																						0
Act 2 (N) H2H Big A	Monster classes							7	42	-2					0	Act 2 (N) H2H A	2																						0
Act 2 (N) H2H Big B	Monster classes							7	44	-2					0	Act 2 (N) H2H B	2																						0
Act 2 (N) H2H Big C	Monster classes							7	45	-2					0	Act 2 (N) H2H C	2																						0
Act 3 (N) H2H Big A	Monster classes							7	46	-2					0	Act 3 (N) H2H A	2																						0
Act 3 (N) H2H Big B	Monster classes							7	48	-2					0	Act 3 (N) H2H B	2																						0
Act 3 (N) H2H Big C	Monster classes							7	50	-2					0	Act 3 (N) H2H C	2																						0
Act 4 (N) H2H Big A	Monster classes							7	51	-2					0	Act 4 (N) H2H A	2																						0
Act 4 (N) H2H Big B	Monster classes							7	54	-2					0	Act 4 (N) H2H B	2																						0
Act 5 (N) H2H Big A	Monster classes							7	57	-2					0	Act 5 (N) H2H A	2																						0
Act 5 (N) H2H Big B	Monster classes							7	60	-2					0	Act 5 (N) H2H B	2																						0
Act 5 (N) H2H Big C	Monster classes							7	62	-2					0	Act 5 (N) H2H C	2																						0
Act 1 (H) H2H Big A	Monster classes							7	63	-2					0	Act 1 (H) H2H A	2																						0
Act 1 (H) H2H Big B	Monster classes							7	66	-2					0	Act 1 (H) H2H B	2																						0
Act 1 (H) H2H Big C	Monster classes							7	68	-2					0	Act 1 (H) H2H C	2																						0
Act 2 (H) H2H Big A	Monster classes							7	69	-2					0	Act 2 (H) H2H A	2																						0
Act 2 (H) H2H Big B	Monster classes							7	71	-2					0	Act 2 (H) H2H B	2																						0
Act 2 (H) H2H Big C	Monster classes							7	73	-2					0	Act 2 (H) H2H C	2																						0
Act 3 (H) H2H Big A	Monster classes							7	74	-2					0	Act 3 (H) H2H A	2																						0
Act 3 (H) H2H Big B	Monster classes							7	76	-2					0	Act 3 (H) H2H B	2																						0
Act 3 (H) H2H Big C	Monster classes							7	77	-2					0	Act 3 (H) H2H C	2																						0
Act 4 (H) H2H Big A	Monster classes							7	79	-2					0	Act 4 (H) H2H A	2																						0
Act 4 (H) H2H Big B	Monster classes							7	80	-2					0	Act 4 (H) H2H B	2																						0
Act 5 (H) H2H Big A	Monster classes							7	82	-2					0	Act 5 (H) H2H A	2																						0
Act 5 (H) H2H Big B	Monster classes							7	83	-2					0	Act 5 (H) H2H B	2																						0
Act 5 (H) H2H Big C	Monster classes							7	85	-2					0	Act 5 (H) H2H C	2																						0
Act 1 Cast A	Monster classes	1,25%	10,00%	160				8	0	1					100	gld	18	Act 1 Equip A	16	Act 1 Junk	16	Act 1 Good	2	Act 1 Magic A	7	Jewelry A	1												0
Act 1 Cast B	Monster classes	1,25%	10,00%	160				8	5	1					100	gld	18	Act 1 Equip B	16	Act 1 Junk	16	Act 1 Good	2	Act 1 Magic B	7	Jewelry B	1												0
Act 1 Cast C	Monster classes	1,25%	10,00%	160				8	9	1					100	gld	18	Act 1 Equip C	16	Act 1 Junk	16	Act 1 Good	2	Act 1 Magic C	7	Jewelry C	1												0
Act 2 Cast A	Monster classes	1,25%	10,00%	160				8	12	1					100	gld	18	Act 2 Equip A	16	Act 2 Junk	16	Act 2 Good	2	Act 2 Magic A	7	Jewelry C	1												0
Act 2 Cast B	Monster classes	1,25%	10,00%	160				8	15	1					100	gld	18	Act 2 Equip B	16	Act 2 Junk	16	Act 2 Good	2	Act 2 Magic B	7	Jewelry C	1												0
Act 2 Cast C	Monster classes	1,25%	10,00%	160				8	18	1					100	gld	18	Act 2 Equip C	16	Act 2 Junk	14	Act 3 Good	2	Act 2 Magic C	7	Act 3 Crafting	2	Jewelry C	1										0
Act 3 Cast A	Monster classes	1,25%	10,00%	160				8	20	1					100	gld	18	Act 3 Equip A	16	Act 3 Junk	12	Act 3 Good	2	Act 3 Magic A	7	Act 3 Crafting	4	Jewelry C	1										0
Act 3 Cast B	Monster classes	1,25%	10,00%	160				8	22	1					100	gld	18	Act 3 Equip B	16	Act 3 Junk	12	Act 3 Good	2	Act 3 Magic B	7	Act 3 Crafting	4	Jewelry C	1										0
Act 3 Cast C	Monster classes	1,25%	10,00%	160				8	24	1					100	gld	18	Act 3 Equip C	16	Act 3 Junk	12	Act 3 Good	2	Act 3 Magic C	7	Act 3 Crafting	4	Jewelry C	1										0
Act 4 Cast A	Monster classes	1,25%	10,00%	160				8	26	1					100	gld	18	Act 4 Equip A	16	Act 4 Junk	12	Act 4 Good	2	Act 4 Magic A	7	Act 4 Crafting	4	Jewelry C	1										0
Act 4 Cast B	Monster classes	1,25%	10,00%	160				8	29	1					100	gld	18	Act 4 Equip B	16	Act 4 Junk	12	Act 4 Good	2	Act 4 Magic B	7	Act 4 Crafting	4	Jewelry C	1										0
Act 5 Cast A	Monster classes	1,25%	10,00%	160				8	32	1					100	gld	18	Act 5 Equip A	16	Act 5 Junk	12	Act 5 Good	2	Act 5 Magic A	7	Act 5 Crafting	4	Jewelry C	1										0
Act 5 Cast B	Monster classes	1,25%	10,00%	160				8	34	1					100	gld	18	Act 5 Equip B	16	Act 5 Junk	12	Act 5 Good	2	Act 5 Magic B	7	Act 5 Crafting	4	Jewelry C	1										0
